datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick
2021-01-18 10:00:00;120845;121145;121325;120705;541363;161013
2021-01-18 10:10:00;121145;121395;121535;121055;492925;139155
2021-01-18 10:20:00;121390;121470;121550;121325;299571;81239
2021-01-18 10:30:00;121470;121530;121640;121450;313289;80647
2021-01-18 10:40:00;121525;121535;121650;121430;299584;74325
2021-01-18 10:50:00;121540;121570;121675;121455;268487;74123
2021-01-18 11:00:00;121570;121740;121885;121550;376121;94391
2021-01-18 11:10:00;121745;121765;121925;121665;298828;75057
2021-01-18 11:20:00;121765;121735;121820;121610;300249;66390
2021-01-18 11:30:00;121735;122000;122035;121710;367308;91698
2021-01-18 11:40:00;122005;122005;122075;121890;321756;75032
2021-01-18 11:50:00;122000;122630;122640;121995;516668;141486
2021-01-18 12:00:00;122635;122480;122780;122430;346505;91829
2021-01-18 12:10:00;122480;122475;122580;122430;181711;43299
2021-01-18 12:20:00;122480;122580;122700;122440;227076;59846
2021-01-18 12:30:00;122580;122530;122625;122485;177566;41201
2021-01-18 12:40:00;122525;122380;122615;122305;214138;58408
2021-01-18 12:50:00;122380;122395;122465;122165;333222;86276
2021-01-19 10:00:00;122325;121990;122395;121915;575612;165574
2021-01-19 10:10:00;121985;121985;122165;121865;462655;134954
2021-01-19 10:20:00;121990;121580;122000;121525;440893;129457
2021-01-19 10:30:00;121580;121455;121585;121220;678587;171566
2021-01-19 10:40:00;121460;121335;121475;121280;305772;67346
2021-01-19 10:50:00;121330;121260;121410;121225;348140;79346
2021-01-19 11:00:00;121260;121165;121325;121055;468603;116929
2021-01-19 11:10:00;121165;120840;121165;120715;535030;142625
2021-01-19 11:20:00;120840;120705;120845;120485;438441;108911
2021-01-19 11:30:00;120700;120255;120915;120150;705735;173041
2021-01-19 11:40:00;120250;119950;120340;119905;579618;133609
2021-01-19 11:50:00;119955;119675;120000;119525;583046;136621
2021-01-19 12:00:00;119675;120135;120240;119500;588472;141403
2021-01-19 12:10:00;120135;120085;120305;119905;440233;104530
2021-01-19 12:20:00;120085;120315;120335;119980;289014;67872
2021-01-19 12:30:00;120310;120220;120540;120200;413968;98170
2021-01-19 12:40:00;120225;120235;120455;120080;392961;93250
2021-01-19 12:50:00;120230;120005;120360;119900;317064;72502
2021-01-20 10:00:00;121310;121255;121425;121135;333978;96710
2021-01-20 10:10:00;121255;121270;121520;121180;439799;127833
2021-01-20 10:20:00;121270;121230;121350;121055;373381;109200
2021-01-20 10:30:00;121230;121210;121435;121160;265749;71943
2021-01-20 10:40:00;121210;121255;121330;121140;204615;53272
2021-01-20 10:50:00;121250;121155;121350;121090;244723;65156
2021-01-20 11:00:00;121150;121225;121315;121115;226321;58552
2021-01-20 11:10:00;121220;121275;121375;121210;192104;50830
2021-01-20 11:20:00;121275;121200;121385;121165;268676;63517
2021-01-20 11:30:00;121205;120825;121250;120610;769885;194505
2021-01-20 11:40:00;120825;120630;120950;120355;526292;132071
2021-01-20 11:50:00;120630;120460;120690;120015;579777;149457
2021-01-20 12:00:00;120465;120545;120625;120410;323178;79269
2021-01-20 12:10:00;120545;120415;120620;120215;376413;96493
2021-01-20 12:20:00;120415;120050;120470;119820;485836;119395
2021-01-20 12:30:00;120055;119660;120075;119560;491227;120854
2021-01-20 12:40:00;119665;119180;119675;119145;427900;104557
2021-01-20 12:50:00;119180;119210;119235;118815;462924;111620
2021-01-21 10:00:00;119485;119850;119895;119310;495672;147679
2021-01-21 10:10:00;119850;119900;120025;119650;543595;165445
2021-01-21 10:20:00;119900;120000;120085;119855;293467;89214
2021-01-21 10:30:00;120000;119860;120215;119770;374618;114182
2021-01-21 10:40:00;119860;119940;120140;119850;306717;80040
2021-01-21 10:50:00;119940;119885;120030;119740;309867;82028
2021-01-21 11:00:00;119885;119285;119915;119260;502856;136907
2021-01-21 11:10:00;119280;119120;119530;119110;549636;149288
2021-01-21 11:20:00;119120;119245;119390;118955;503589;137853
2021-01-21 11:30:00;119245;118550;119290;118480;619442;162935
2021-01-21 11:40:00;118555;118690;118725;118380;458557;119378
2021-01-21 11:50:00;118690;118285;118850;118195;462480;123815
2021-01-21 12:00:00;118280;118270;118450;118110;369452;95863
