datetime,abertura,maxima,minima,fechamento,volume_ticks,volume_real
2025-01-02 10:00:00-03:00,121795.0,121840.0,121550.0,121740.0,92085,303750
2025-01-02 10:10:00-03:00,121740.0,121915.0,121685.0,121905.0,83298,263476
2025-01-02 10:20:00-03:00,121905.0,121965.0,121760.0,121815.0,72244,223330
2025-01-02 10:30:00-03:00,121810.0,121915.0,121745.0,121890.0,52070,163725
2025-01-02 10:40:00-03:00,121895.0,121975.0,121650.0,121695.0,81313,277455
2025-01-02 10:50:00-03:00,121690.0,121900.0,121660.0,121840.0,59399,197611
2025-01-02 11:00:00-03:00,121840.0,121880.0,121700.0,121710.0,60564,206172
2025-01-02 11:10:00-03:00,121710.0,121740.0,121565.0,121570.0,58409,184388
2025-01-02 11:20:00-03:00,121565.0,121600.0,121450.0,121465.0,56551,182634
2025-01-02 11:30:00-03:00,121465.0,121485.0,121240.0,121275.0,72790,244617
2025-01-02 11:40:00-03:00,121275.0,121420.0,121245.0,121300.0,62420,199900
2025-01-02 11:50:00-03:00,121295.0,121475.0,121215.0,121440.0,66548,212593
2025-01-02 12:00:00-03:00,121440.0,121455.0,121260.0,121330.0,62151,209217
2025-01-02 12:10:00-03:00,121330.0,121535.0,121315.0,121450.0,71361,234783
2025-01-02 12:20:00-03:00,121450.0,121470.0,121295.0,121335.0,45184,142754
2025-01-02 12:30:00-03:00,121330.0,121425.0,121295.0,121380.0,38319,120178
2025-01-02 12:40:00-03:00,121380.0,121505.0,121325.0,121355.0,52132,167176
2025-01-02 12:50:00-03:00,121360.0,121445.0,121325.0,121440.0,36243,111440
2025-01-03 10:00:00-03:00,120320.0,120330.0,120140.0,120180.0,62442,214825
2025-01-03 10:10:00-03:00,120185.0,120190.0,120060.0,120085.0,56529,188954
2025-01-03 10:20:00-03:00,120085.0,120210.0,120050.0,120125.0,48508,164498
2025-01-03 10:30:00-03:00,120125.0,120145.0,119975.0,120080.0,64116,223128
2025-01-03 10:40:00-03:00,120080.0,120090.0,119920.0,120020.0,55713,196237
2025-01-03 10:50:00-03:00,120015.0,120040.0,119965.0,119980.0,27818,90736
2025-01-03 11:00:00-03:00,119980.0,120135.0,119945.0,120060.0,51039,168306
2025-01-03 11:10:00-03:00,120065.0,120115.0,120020.0,120085.0,36459,120339
2025-01-03 11:20:00-03:00,120085.0,120145.0,120020.0,120080.0,36520,120948
