datetime,abertura,maxima,minima,fechamento,volume_ticks,volume_real
2026-01-02 10:00:00,163100.0,163150.0,162975.0,163065.0,61035,189101
2026-01-02 10:10:00,163065.0,163135.0,162995.0,163060.0,48977,151964
2026-01-02 10:20:00,163065.0,163100.0,162885.0,162930.0,60887,191988
2026-01-02 10:30:00,162930.0,162960.0,162800.0,162865.0,70899,225705
2026-01-02 10:40:00,162870.0,163000.0,162860.0,162920.0,45125,145342
2026-01-02 10:50:00,162920.0,162940.0,162710.0,162890.0,69335,233103
2026-01-02 11:00:00,162885.0,162960.0,162720.0,162750.0,63523,216220
2026-01-02 11:10:00,162750.0,162850.0,162680.0,162785.0,52362,176732
2026-01-02 11:20:00,162790.0,162800.0,162730.0,162770.0,28327,92099
2026-01-02 11:30:00,162775.0,162855.0,162680.0,162730.0,43231,148714
2026-01-02 11:40:00,162725.0,162830.0,162650.0,162680.0,45637,159198
2026-01-02 11:50:00,162685.0,162735.0,162625.0,162680.0,44532,159331
2026-01-02 12:00:00,162675.0,162705.0,162530.0,162690.0,55343,195979
2026-01-02 12:10:00,162685.0,162900.0,162620.0,162790.0,63571,223207
2026-01-02 12:20:00,162790.0,162895.0,162725.0,162785.0,51332,182366
2026-01-02 12:30:00,162785.0,162830.0,162730.0,162820.0,29939,101847
2026-01-02 12:40:00,162820.0,162835.0,162630.0,162655.0,49467,182895
2026-01-02 12:50:00,162655.0,162730.0,162570.0,162670.0,50885,182166
2026-01-05 10:00:00,163975.0,164060.0,163645.0,163760.0,97246,329162
2026-01-05 10:10:00,163755.0,163875.0,163650.0,163825.0,65621,211800
2026-01-05 10:20:00,163825.0,163900.0,163745.0,163870.0,50144,165338
2026-01-05 10:30:00,163870.0,163985.0,163840.0,163970.0,42682,139538
2026-01-05 10:40:00,163975.0,164150.0,163940.0,164070.0,90764,304950
2026-01-05 10:50:00,164075.0,164180.0,164035.0,164140.0,54463,184661
2026-01-05 11:00:00,164140.0,164245.0,164070.0,164170.0,64823,221676
2026-01-05 11:10:00,164170.0,164225.0,164120.0,164180.0,43124,151717
2026-01-05 11:20:00,164180.0,164245.0,164040.0,164100.0,63772,218787
2026-01-05 11:30:00,164095.0,164330.0,164065.0,164225.0,67439,229931
2026-01-05 11:40:00,164230.0,164405.0,164140.0,164400.0,64151,229254
2026-01-05 11:50:00,164405.0,164455.0,164330.0,164435.0,64127,224450
2026-01-05 12:00:00,164430.0,164470.0,164310.0,164345.0,57235,204189
2026-01-05 12:10:00,164345.0,164490.0,164345.0,164465.0,62601,223761
2026-01-05 12:20:00,164465.0,164550.0,164430.0,164500.0,55871,199393
2026-01-05 12:30:00,164500.0,164510.0,164355.0,164385.0,57798,208340
2026-01-05 12:40:00,164385.0,164480.0,164350.0,164455.0,43308,153399
2026-01-05 12:50:00,164455.0,164535.0,164405.0,164500.0,38512,134966
2026-01-06 10:00:00,166165.0,166255.0,165990.0,166080.0,65563,236919
2026-01-06 10:10:00,166075.0,166140.0,165940.0,166035.0,62504,224932
2026-01-06 10:20:00,166030.0,166250.0,165865.0,166180.0,88785,320771
2026-01-06 10:30:00,166180.0,166265.0,166060.0,166220.0,63789,228850
2026-01-06 10:40:00,166225.0,166270.0,166120.0,166175.0,53283,195216
2026-01-06 10:50:00,166180.0,166240.0,166135.0,166185.0,36825,140667
2026-01-06 11:00:00,166180.0,166290.0,166160.0,166250.0,37601,137555
2026-01-06 11:10:00,166245.0,166310.0,166075.0,166135.0,56147,206193
2026-01-06 11:20:00,166135.0,166190.0,166015.0,166150.0,59678,228834
2026-01-06 11:30:00,166150.0,166240.0,166145.0,166155.0,33453,128159
2026-01-06 11:40:00,166150.0,166285.0,166135.0,166270.0,35837,134983
2026-01-06 11:50:00,166265.0,166345.0,166125.0,166140.0,49766,182569
2026-01-06 12:00:00,166140.0,166330.0,166090.0,166190.0,73921,283031
2026-01-06 12:10:00,166190.0,166240.0,166005.0,166085.0,53512,198646
2026-01-06 12:20:00,166085.0,166095.0,165990.0,166020.0,43918,159343
2026-01-06 12:30:00,166020.0,166165.0,165945.0,166085.0,65184,245456
2026-01-06 12:40:00,166085.0,166205.0,166070.0,166150.0,41319,156867
2026-01-06 12:50:00,166145.0,166270.0,166140.0,166205.0,40664,157928
2026-01-07 10:00:00,164400.0,164440.0,164330.0,164380.0,50605,177537
2026-01-07 10:10:00,164380.0,164405.0,164285.0,164395.0,45384,161924
2026-01-07 10:20:00,164395.0,164555.0,164360.0,164525.0,66413,240183
2026-01-07 10:30:00,164525.0,164580.0,164360.0,164375.0,65764,245371
2026-01-07 10:40:00,164380.0,164485.0,164330.0,164400.0,53922,189866
2026-01-07 10:50:00,164405.0,164470.0,164350.0,164425.0,33066,118496
2026-01-07 11:00:00,164430.0,164490.0,164285.0,164315.0,48806,184578
2026-01-07 11:10:00,164320.0,164400.0,164225.0,164365.0,55713,206128
2026-01-07 11:20:00,164360.0,164430.0,164290.0,164410.0,45225,170858
2026-01-07 11:30:00,164410.0,164430.0,164320.0,164375.0,36975,140088
2026-01-07 11:40:00,164375.0,164465.0,164345.0,164350.0,42837,152519
2026-01-07 11:50:00,164350.0,164360.0,164240.0,164325.0,53706,203372
2026-01-07 12:00:00,164325.0,164390.0,164250.0,164355.0,38631,141514
2026-01-07 12:10:00,164350.0,164385.0,164205.0,164275.0,46817,177342
2026-01-07 12:20:00,164280.0,164285.0,164215.0,164265.0,29867,112822
2026-01-07 12:30:00,164270.0,164415.0,164220.0,164400.0,48413,191476
2026-01-07 12:40:00,164400.0,164450.0,164350.0,164370.0,39883,159409
2026-01-07 12:50:00,164370.0,164525.0,164365.0,164460.0,50272,194066
2026-01-08 10:00:00,164730.0,164740.0,164580.0,164705.0,46642,160128
2026-01-08 10:10:00,164700.0,164715.0,164535.0,164550.0,42215,152833
2026-01-08 10:20:00,164550.0,164810.0,164485.0,164745.0,69398,239534
2026-01-08 10:30:00,164740.0,164835.0,164630.0,164775.0,57916,200717
2026-01-08 10:40:00,164770.0,164800.0,164650.0,164785.0,46189,168288
2026-01-08 10:50:00,164785.0,164850.0,164680.0,164810.0,49405,178574
2026-01-08 11:00:00,164810.0,164860.0,164765.0,164810.0,33552,124251
2026-01-08 11:10:00,164805.0,164885.0,164680.0,164735.0,65340,242646
2026-01-08 11:20:00,164730.0,164760.0,164560.0,164650.0,48473,170309
2026-01-08 11:30:00,164650.0,164735.0,164635.0,164665.0,38551,140255
2026-01-08 11:40:00,164665.0,164680.0,164545.0,164550.0,34033,115962
2026-01-08 11:50:00,164550.0,164660.0,164545.0,164650.0,33545,120984
2026-01-08 12:00:00,164650.0,164680.0,164505.0,164525.0,46453,161126
2026-01-08 12:10:00,164530.0,164555.0,164465.0,164520.0,45895,157180
2026-01-08 12:20:00,164525.0,164625.0,164430.0,164605.0,52884,175438
2026-01-08 12:30:00,164605.0,164680.0,164570.0,164575.0,44177,147371
2026-01-08 12:40:00,164575.0,164725.0,164555.0,164710.0,47542,171694
2026-01-08 12:50:00,164715.0,164890.0,164605.0,164620.0,84265,299966
2026-01-09 10:00:00,165925.0,165995.0,165865.0,165965.0,48359,167995
2026-01-09 10:10:00,165965.0,165995.0,165880.0,165935.0,45012,153333
2026-01-09 10:20:00,165940.0,166005.0,165860.0,165905.0,45845,161726
2026-01-09 10:30:00,165900.0,166050.0,165900.0,166025.0,56147,192443
2026-01-09 10:40:00,166025.0,166190.0,165970.0,166180.0,61308,213122
2026-01-09 10:50:00,166185.0,166315.0,166180.0,166280.0,49246,170344
2026-01-09 11:00:00,166280.0,166435.0,166275.0,166285.0,69396,253467
2026-01-09 11:10:00,166285.0,166345.0,166235.0,166320.0,39888,145951
2026-01-09 11:20:00,166325.0,166400.0,166295.0,166385.0,39911,143942
2026-01-09 11:30:00,166385.0,166410.0,166310.0,166330.0,29471,108064
2026-01-09 11:40:00,166325.0,166330.0,166205.0,166235.0,42014,144474
2026-01-09 11:50:00,166240.0,166285.0,166110.0,166160.0,49335,171474
2026-01-09 12:00:00,166160.0,166180.0,166075.0,166130.0,41710,145039
2026-01-09 12:10:00,166130.0,166170.0,166005.0,166075.0,46021,160155
2026-01-09 12:20:00,166080.0,166110.0,165870.0,165950.0,57931,201199
2026-01-09 12:30:00,165950.0,166090.0,165940.0,166085.0,44678,169101
2026-01-09 12:40:00,166085.0,166120.0,166030.0,166070.0,30470,118255
2026-01-09 12:50:00,166070.0,166085.0,166015.0,166040.0,19108,67378
2026-01-12 10:00:00,165485.0,165570.0,165360.0,165525.0,71347,253551
2026-01-12 10:10:00,165525.0,165550.0,165355.0,165370.0,56413,201493
2026-01-12 10:20:00,165365.0,165470.0,165350.0,165360.0,43198,156277
2026-01-12 10:30:00,165355.0,165540.0,165325.0,165495.0,54654,195985
2026-01-12 10:40:00,165490.0,165505.0,165345.0,165345.0,54810,200194
2026-01-12 10:50:00,165345.0,165410.0,165185.0,165225.0,74496,266129
2026-01-12 11:00:00,165220.0,165385.0,165175.0,165265.0,64147,235885
2026-01-12 11:10:00,165265.0,165325.0,165210.0,165265.0,44879,151844
2026-01-12 11:20:00,165260.0,165340.0,165180.0,165300.0,48794,175312
2026-01-12 11:30:00,165295.0,165435.0,165285.0,165410.0,49124,176231
2026-01-12 11:40:00,165410.0,165420.0,165325.0,165375.0,37178,134613
2026-01-12 11:50:00,165375.0,165410.0,165320.0,165385.0,31610,116507
2026-01-12 12:00:00,165385.0,165450.0,165320.0,165335.0,56405,214067
2026-01-12 12:10:00,165330.0,165515.0,165330.0,165435.0,53012,197453
2026-01-12 12:20:00,165435.0,165455.0,165325.0,165385.0,40505,157235
2026-01-12 12:30:00,165390.0,165440.0,165340.0,165435.0,27428,103055
2026-01-12 12:40:00,165440.0,165460.0,165265.0,165340.0,53958,198184
2026-01-12 12:50:00,165335.0,165365.0,165315.0,165335.0,18720,75769
2026-01-13 10:00:00,163845.0,163895.0,163775.0,163810.0,51805,186643
2026-01-13 10:10:00,163810.0,163835.0,163705.0,163775.0,46364,170257
2026-01-13 10:20:00,163775.0,163815.0,163635.0,163795.0,72218,266196
2026-01-13 10:30:00,163795.0,163945.0,163760.0,163890.0,55219,206281
2026-01-13 10:40:00,163885.0,164090.0,163870.0,164050.0,57833,216531
2026-01-13 10:50:00,164055.0,164075.0,163905.0,163905.0,50380,192240
2026-01-13 11:00:00,163910.0,164115.0,163835.0,164025.0,71226,277532
2026-01-13 11:10:00,164025.0,164125.0,164005.0,164080.0,41533,168272
2026-01-13 11:20:00,164080.0,164115.0,164015.0,164065.0,35458,142882
2026-01-13 11:30:00,164060.0,164095.0,163970.0,164000.0,47461,175957
2026-01-13 11:40:00,164005.0,164135.0,163960.0,164115.0,49105,189076
2026-01-13 11:50:00,164115.0,164150.0,164015.0,164030.0,44992,173257
2026-01-13 12:00:00,164025.0,164050.0,163870.0,163890.0,72463,286824
2026-01-13 12:10:00,163890.0,164080.0,163870.0,164040.0,49812,192385
2026-01-13 12:20:00,164040.0,164150.0,163935.0,164010.0,61130,236758
2026-01-13 12:30:00,164010.0,164090.0,163910.0,164075.0,49975,204531
2026-01-13 12:40:00,164075.0,164085.0,163960.0,164005.0,36836,145379
2026-01-13 12:50:00,164000.0,164035.0,163915.0,163940.0,36205,148168
2026-01-14 10:00:00,165370.0,165485.0,165280.0,165400.0,22702,251117
