datetime,abertura,maxima,minima,fechamento,volume_ticks,volume_real
2025-01-02 06:00:00-03:00,121790.0,122375.0,121750.0,122030.0,177082,390569
2025-01-02 06:10:00-03:00,122025.0,122075.0,121680.0,121695.0,85138,216346
2025-01-02 06:20:00-03:00,121695.0,121850.0,121640.0,121720.0,73287,188401
2025-01-02 06:30:00-03:00,121720.0,121745.0,121140.0,121195.0,138742,373809
2025-01-02 06:40:00-03:00,121195.0,121250.0,121080.0,121130.0,93221,244120
2025-01-02 06:50:00-03:00,121125.0,121305.0,121055.0,121275.0,80318,213264
2025-01-02 07:00:00-03:00,121275.0,121355.0,121140.0,121320.0,95580,261920
2025-01-02 07:10:00-03:00,121320.0,121400.0,121125.0,121150.0,104463,306274
2025-01-02 07:20:00-03:00,121155.0,121265.0,121075.0,121090.0,81870,234821
2025-01-02 07:30:00-03:00,121095.0,121110.0,120435.0,120460.0,168553,526463
2025-01-02 07:40:00-03:00,120460.0,120640.0,120390.0,120565.0,103996,332512
2025-01-02 07:50:00-03:00,120570.0,120700.0,120525.0,120605.0,73103,216571
2025-01-02 08:00:00-03:00,120605.0,120650.0,120490.0,120495.0,72404,216242
2025-01-02 08:10:00-03:00,120495.0,120545.0,120350.0,120435.0,80290,263306
2025-01-02 08:20:00-03:00,120435.0,120470.0,120300.0,120350.0,78523,245780
2025-01-02 08:30:00-03:00,120345.0,120800.0,120330.0,120780.0,107753,337284
2025-01-02 08:40:00-03:00,120780.0,121245.0,120765.0,121155.0,126524,414668
2025-01-02 08:50:00-03:00,121155.0,121245.0,120970.0,121010.0,94397,301351
2025-01-02 09:00:00-03:00,121015.0,121220.0,121010.0,121105.0,71900,230360
2025-01-02 09:10:00-03:00,121105.0,121290.0,121080.0,121215.0,66355,219838
2025-01-02 09:20:00-03:00,121215.0,121470.0,121125.0,121425.0,86314,289379
2025-01-02 09:30:00-03:00,121425.0,121450.0,121300.0,121420.0,62367,202859
2025-01-02 09:40:00-03:00,121415.0,121485.0,121265.0,121415.0,82298,267867
2025-01-02 09:50:00-03:00,121415.0,121865.0,121385.0,121800.0,108432,380523
2025-01-02 10:00:00-03:00,121795.0,121840.0,121550.0,121740.0,92085,303750
2025-01-02 10:10:00-03:00,121740.0,121915.0,121685.0,121905.0,83298,263476
2025-01-02 10:20:00-03:00,121905.0,121965.0,121760.0,121815.0,72244,223330
2025-01-02 10:30:00-03:00,121810.0,121915.0,121745.0,121890.0,52070,163725
2025-01-02 10:40:00-03:00,121895.0,121975.0,121650.0,121695.0,81313,277455
2025-01-02 10:50:00-03:00,121690.0,121900.0,121660.0,121840.0,59399,197611
2025-01-02 11:00:00-03:00,121840.0,121880.0,121700.0,121710.0,60564,206172
2025-01-02 11:10:00-03:00,121710.0,121740.0,121565.0,121570.0,58409,184388
2025-01-02 11:20:00-03:00,121565.0,121600.0,121450.0,121465.0,56551,182634
2025-01-02 11:30:00-03:00,121465.0,121485.0,121240.0,121275.0,72790,244617
2025-01-02 11:40:00-03:00,121275.0,121420.0,121245.0,121300.0,62420,199900
2025-01-02 11:50:00-03:00,121295.0,121475.0,121215.0,121440.0,66548,212593
2025-01-02 12:00:00-03:00,121440.0,121455.0,121260.0,121330.0,62151,209217
2025-01-02 12:10:00-03:00,121330.0,121535.0,121315.0,121450.0,71361,234783
2025-01-02 12:20:00-03:00,121450.0,121470.0,121295.0,121335.0,45184,142754
2025-01-02 12:30:00-03:00,121330.0,121425.0,121295.0,121380.0,38319,120178
2025-01-02 12:40:00-03:00,121380.0,121505.0,121325.0,121355.0,52132,167176
2025-01-02 12:50:00-03:00,121360.0,121445.0,121325.0,121440.0,36243,111440
2025-01-02 13:00:00-03:00,121440.0,121460.0,121300.0,121315.0,37601,123135
2025-01-02 13:10:00-03:00,121315.0,121405.0,121250.0,121355.0,53142,171782
2025-01-02 13:20:00-03:00,121350.0,121470.0,121330.0,121465.0,33426,113279
2025-01-02 13:30:00-03:00,121460.0,121510.0,121375.0,121410.0,38474,120934
2025-01-02 13:40:00-03:00,121405.0,121415.0,121295.0,121380.0,35221,117104
2025-01-02 13:50:00-03:00,121380.0,121410.0,121280.0,121295.0,31157,107155
