"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2018.02.15	09:00:00	113824	113944	113437	113797	65636	204816	1"
"2018.02.15	10:00:00	113797	114078	113577	113751	80185	261261	1"
"2018.02.15	11:00:00	113757	114131	113597	114024	67034	236211	1"
"2018.02.15	12:00:00	114024	114365	113697	114298	84041	292360	1"
"2018.02.15	13:00:00	114292	114398	113544	113550	84498	302891	1"
"2018.02.15	14:00:00	113557	114131	113303	113837	95552	350362	1"
"2018.02.15	15:00:00	113831	114051	113517	113757	74955	274731	1"
"2018.02.15	16:00:00	113764	114265	113724	113911	72460	268248	1"
"2018.02.15	18:00:00	113597	113757	113523	113697	4073	20969	1"
"2018.02.16	09:00:00	114085	114111	113817	113837	49154	180435	1"
"2018.02.16	10:00:00	113837	114011	113370	113664	70670	220528	1"
"2018.02.16	11:00:00	113670	113771	113383	113417	58155	177757	1"
"2018.02.16	12:00:00	113417	113570	113076	113310	83400	275193	1"
"2018.02.16	13:00:00	113323	113871	113109	113684	70537	254263	1"
"2018.02.16	14:00:00	113684	114044	113644	113670	53513	194138	1"
"2018.02.16	15:00:00	113670	114218	113577	113804	68049	248601	1"
"2018.02.16	16:00:00	113804	113898	113323	113744	76141	278052	1"
"2018.02.16	17:00:00	113744	114125	113443	114091	55257	208666	1"
"2018.02.16	18:00:00	114091	114211	114011	114211	4151	20092	1"
"2018.02.19	09:00:00	114545	114712	114272	114392	50609	162425	1"
"2018.02.19	10:00:00	114392	114599	114238	114499	48235	155844	1"
"2018.02.19	11:00:00	114499	114639	114225	114385	46827	154630	1"
"2018.02.19	12:00:00	114385	114392	114118	114171	49138	172312	1"
"2018.02.19	13:00:00	114178	114398	114064	114332	31741	101902	1"
"2018.02.19	14:00:00	114332	114358	114171	114231	18907	61355	1"
"2018.02.19	15:00:00	114225	114318	114171	114251	13835	47300	1"
"2018.02.19	16:00:00	114258	114332	114225	114251	11961	42400	1"
"2018.02.19	17:00:00	114258	114345	114138	114305	12335	49483	1"
"2018.02.19	18:00:00	114298	114512	114278	114392	2299	13612	1"
"2018.02.20	09:00:00	113744	113911	113610	113891	48891	173948	1"
"2018.02.20	10:00:00	113884	114038	113577	113904	64436	224928	1"
"2018.02.20	11:00:00	113904	114666	113751	114499	97105	354640	1"
"2018.02.20	12:00:00	114499	115313	114405	115086	102267	401500	1"
"2018.02.20	13:00:00	115086	115834	115080	115761	76597	289914	1"
"2018.02.20	14:00:00	115761	116482	115754	116122	78343	331042	1"
