datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick
2022-07-22 14:25:00;5496.0;5493.0;5498.0;5490.0;35459;10953
2022-07-22 14:30:00;5492.5;5495.5;5496.5;5490.0;27346;7924
2022-07-22 14:35:00;5496.0;5495.0;5497.0;5491.5;18530;5746
2022-07-22 14:40:00;5495.5;5493.0;5498.0;5492.0;19860;6167
2022-07-22 14:45:00;5493.5;5494.5;5496.0;5491.5;21889;5372
2022-07-22 14:50:00;5494.0;5501.0;5505.5;5493.5;53359;14593
2022-07-22 14:55:00;5501.0;5498.5;5501.5;5497.0;17015;4740
2022-07-22 15:00:00;5498.5;5503.0;5504.5;5498.0;24205;6602
2022-07-22 15:05:00;5503.5;5507.0;5507.5;5503.0;25042;6998
2022-07-22 15:10:00;5507.0;5510.0;5511.0;5505.5;30943;8579
2022-07-22 15:15:00;5510.5;5507.5;5512.0;5506.0;23928;7316
2022-07-22 15:20:00;5507.5;5507.0;5510.0;5505.0;15228;4760
2022-07-22 15:25:00;5506.5;5505.0;5509.5;5504.0;17274;5337
2022-07-22 15:30:00;5505.5;5506.0;5510.0;5504.5;18364;5916
2022-07-22 15:35:00;5506.0;5505.5;5508.0;5504.5;11107;3479
2022-07-22 15:40:00;5506.0;5508.5;5509.5;5505.0;12128;3786
2022-07-22 15:45:00;5509.0;5508.5;5509.5;5505.0;13337;4389
2022-07-22 15:50:00;5508.5;5508.5;5509.5;5506.5;10023;3502
2022-07-22 15:55:00;5508.0;5512.0;5512.0;5507.0;18842;5505
2022-07-22 16:00:00;5512.0;5510.0;5515.0;5508.0;40123;10964
2022-07-22 16:05:00;5510.0;5510.0;5512.0;5509.5;8655;2587
2022-07-22 16:10:00;5510.5;5511.0;5512.5;5509.5;12284;3277
2022-07-22 16:15:00;5511.0;5509.5;5512.5;5508.5;15801;4380
2022-07-22 16:20:00;5509.5;5508.0;5510.0;5507.0;11860;3482
2022-07-22 16:25:00;5508.0;5509.5;5511.0;5507.5;13643;3865
2022-07-22 16:30:00;5509.5;5511.0;5511.0;5508.5;9282;2509
2022-07-22 16:35:00;5511.0;5510.5;5512.0;5509.5;11596;2930
2022-07-22 16:40:00;5511.0;5510.0;5511.0;5507.0;11643;3296
2022-07-22 16:45:00;5510.0;5509.5;5511.5;5509.0;8889;2287
2022-07-22 16:50:00;5509.5;5509.0;5511.0;5507.0;15192;3579
2022-07-22 16:55:00;5508.5;5507.5;5510.0;5507.0;10961;2536
2022-07-22 17:00:00;5507.5;5510.5;5511.0;5507.5;12115;2977
2022-07-22 17:05:00;5510.0;5509.5;5510.5;5507.5;6978;1704
2022-07-22 17:10:00;5510.0;5509.0;5510.0;5508.5;3774;972
2022-07-22 17:15:00;5509.0;5509.5;5509.5;5508.5;4823;968
