;range_dia_anterior;posicao_range_d1;distancia_mm20;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;Abertura_c1;Abertura_c2;Abertura_c3;Abertura_c4;Abertura_c5;Abertura_c6;Abertura_c7;Maxima_c1;Maxima_c2;Maxima_c3;Maxima_c4;Maxima_c5;Maxima_c6;Maxima_c7;Minima_c1;Minima_c2;Minima_c3;Minima_c4;Minima_c5;Minima_c6;Minima_c7;Fechamento_c1;Fechamento_c2;Fechamento_c3;Fechamento_c4;Fechamento_c5;Fechamento_c6;Fechamento_c7;Volume_Real_c1;Volume_Real_c2;Volume_Real_c3;Volume_Real_c4;Volume_Real_c5;Volume_Real_c6;Volume_Real_c7;Volume_Tick_c1;Volume_Tick_c2;Volume_Tick_c3;Volume_Tick_c4;Volume_Tick_c5;Volume_Tick_c6;Volume_Tick_c7;Abertura_dolar_c1;Abertura_dolar_c2;Abertura_dolar_c3;Abertura_dolar_c4;Abertura_dolar_c5;Abertura_dolar_c6;Abertura_dolar_c7;Maxima_dolar_c1;Maxima_dolar_c2;Maxima_dolar_c3;Maxima_dolar_c4;Maxima_dolar_c5;Maxima_dolar_c6;Maxima_dolar_c7;Minima_dolar_c1;Minima_dolar_c2;Minima_dolar_c3;Minima_dolar_c4;Minima_dolar_c5;Minima_dolar_c6;Minima_dolar_c7;Fechamento_dolar_c1;Fechamento_dolar_c2;Fechamento_dolar_c3;Fechamento_dolar_c4;Fechamento_dolar_c5;Fechamento_dolar_c6;Fechamento_dolar_c7;Volume_Real_dolar_c1;Volume_Real_dolar_c2;Volume_Real_dolar_c3;Volume_Real_dolar_c4;Volume_Real_dolar_c5;Volume_Real_dolar_c6;Volume_Real_dolar_c7;Volume_Tick_dolar_c1;Volume_Tick_dolar_c2;Volume_Tick_dolar_c3;Volume_Tick_dolar_c4;Volume_Tick_dolar_c5;Volume_Tick_dolar_c6;Volume_Tick_dolar_c7;label_binario
2021-03-29;0.020881874532905437;0.48210526315789476;0.006984135374612635;1.0;6.123233995736766e-17;-0.3943558551133187;0.9189578116202306;0.0;1.0;114300;114080;115025;114370;114875;115195;115120;114710;115220;115430;115085;115330;115665;115415;113770;114020;114250;114095;114675;114935;114540;114075;115025;114370;114875;115195;115125;114795;1767904;3172236;2868512;2334019;1739595;1916544;2063918;595394;931230;800114;647005;469399;535383;544722;5767.0;5788.5;5787.0;5804.0;5781.0;5750.5;5753.0;5796.5;5803.0;5806.5;5806.5;5784.0;5761.0;5792.0;5759.0;5782.0;5780.0;5775.0;5737.5;5737.0;5752.5;5788.0;5786.5;5804.0;5781.5;5751.0;5753.0;5785.0;506009;429033;404054;309723;372058;227976;320432;174524;153933;136710;103219;119039;77194;102384;1
2021-03-30;0.017716535433070866;0.8049382716049382;0.014378418527788827;1.0;6.123233995736766e-17;-0.20129852008866114;0.9795299412524943;0.7818314824680298;0.6234898018587336;115400;114865;116080;116355;116855;116650;116690;115645;116265;116520;117190;116975;116870;116965;114665;114730;115990;116345;116550;116425;116520;114870;116080;116350;116850;116655;116695;116880;1820244;3381282;2452692;2162983;1615385;2020652;1811269;606160;988893;673160;585523;420858;508896;436390;5784.0;5776.0;5769.0;5763.0;5745.0;5748.0;5741.5;5793.0;5783.5;5804.0;5768.0;5755.0;5759.0;5755.5;5757.0;5759.0;5751.0;5735.0;5743.0;5738.0;5722.0;5776.0;5768.5;5763.5;5745.0;5747.5;5741.5;5751.5;562651;447827;537956;450609;181711;214384;359642;217549;159800;173282;134711;56095;72202;108807;1
2021-03-31;0.021880415944540727;0.8752475247524752;0.025088914129343196;1.0;6.123233995736766e-17;-2.4492935982947064e-16;1.0;0.9749279121818236;-0.22252093395631434;116875;116730;116685;117200;116460;116265;116105;117065;117115;117350;117245;116660;116390;116735;116615;116430;116530;116360;115915;115945;116000;116735;116690;117200;116460;116265;116105;116495;1342465;2954537;2515571;2206575;1799696;1706101;1852591;468106;832585;678632;601470;471930;447241;475716;5773.0;5763.5;5742.5;5645.5;5668.0;5690.5;5684.0;5778.0;5776.5;5745.5;5676.5;5706.0;5693.5;5686.5;5736.0;5741.0;5643.0;5645.0;5659.5;5667.0;5632.5;5764.0;5742.5;5645.0;5668.0;5690.5;5684.0;5651.0;500323;362412;776539;421127;370970;285671;371545;193007;126012;229657;122965;110792;90145;116731;1
2021-04-01;0.01227807486631016;0.8501742160278746;0.024989225953092973;0.8660254037844387;-0.4999999999999998;0.20791169081775931;0.9781476007338057;0.43388373911755823;-0.900968867902419;117135;116970;116265;115945;115905;115645;115630;117515;117095;116390;116020;116030;115825;115890;116530;116130;115340;115380;115275;115230;115505;116970;116260;115940;115900;115645;115625;115660;1770418;2909174;2936689;1949431;1730757;1739989;1463695;547241;818412;774593;522988;457594;460700;379835;5635.0;5680.5;5706.5;5690.5;5698.0;5705.5;5709.5;5692.5;5716.5;5709.5;5703.5;5713.0;5726.0;5719.0;5616.5;5670.0;5684.5;5685.0;5694.5;5705.5;5701.0;5680.0;5707.0;5690.5;5698.0;5706.0;5709.0;5716.5;638945;483433;353605;247294;240751;237951;190817;229959;169175;119284;79773;78894;78271;60964;0
2021-04-05;0.024202842873607376;0.32098765432098764;0.010899152773981962;0.8660254037844387;-0.4999999999999998;0.8660254037844386;0.5000000000000001;0.0;1.0;115590;116225;116790;117095;117225;116850;117105;116390;116970;117260;117240;117260;117260;117675;115580;116175;116750;116950;116520;116700;116965;116225;116790;117090;117225;116850;117100;117400;1590679;2673729;2600011;1419000;2207322;2030351;2165345;500039;685506;627370;355202;525642;491412;498560;5678.5;5685.0;5661.0;5661.0;5667.0;5674.5;5670.0;5692.5;5689.0;5673.0;5668.0;5675.5;5685.0;5687.5;5663.5;5645.0;5642.0;5650.0;5657.0;5667.5;5670.0;5685.0;5661.0;5660.5;5667.0;5675.0;5670.0;5678.5;446336;489883;378396;237225;204464;304538;257445;186579;175729;131082;77493;68924;94714;81249;1
2021-04-06;0.019465351674020245;0.76;0.024809852294223268;0.8660254037844387;-0.4999999999999998;0.9510565162951535;0.30901699437494745;0.7818314824680298;0.6234898018587336;117290;117575;117620;118075;117670;117755;117680;117585;117870;118215;118135;118260;117795;118130;117100;117270;117180;117565;117620;117365;117600;117575;117615;118075;117675;117760;117680;117720;1753122;3287807;3194722;1743887;1802212;1966127;1744695;551200;907250;802987;444392;449948;509262;428474;5675.0;5656.0;5645.5;5622.5;5623.5;5619.0;5617.0;5678.5;5664.0;5651.5;5629.5;5623.5;5636.5;5617.5;5641.5;5644.5;5618.0;5617.0;5604.0;5614.0;5583.0;5656.0;5646.0;5622.5;5623.0;5619.5;5616.5;5609.5;579331;404229;477810;205627;274432;315468;369220;224114;144047;161258;64167;82192;102575;98505;0
2021-04-07;0.009890016199164464;0.4482758620689655;0.023759631474385336;0.8660254037844387;-0.4999999999999998;0.9945218953682733;0.10452846326765346;0.9749279121818236;-0.22252093395631434;117620;117275;117945;117585;116930;117980;118125;117765;118150;118085;117720;118090;118500;118355;117205;117070;117510;116680;116830;117870;117510;117275;117945;117590;116935;117975;118125;117550;1824740;3149656;2293049;2516517;1973339;1712846;2174709;576577;871885;595601;660459;499790;421895;528417;5597.0;5604.5;5588.0;5566.0;5615.5;5619.5;5602.5;5614.0;5608.5;5593.0;5626.5;5641.5;5626.0;5648.0;5580.5;5574.0;5556.5;5563.5;5610.5;5601.0;5595.0;5605.0;5587.5;5565.5;5615.0;5619.5;5603.0;5642.0;649886;528672;468811;464769;346215;238308;358868;239361;194443;159939;148473;112583;77893;113870;1
2021-04-08;0.015473558918551266;0.8598901098901099;0.02614279825570043;0.8660254037844387;-0.4999999999999998;0.9945218953682734;-0.10452846326765333;0.43388373911755823;-0.900968867902419;118245;117890;117920;117625;118435;118380;118090;118420;118040;117945;118610;119020;118425;118550;117735;117565;117460;117410;118300;118035;117965;117890;117915;117625;118435;118385;118095;118310;1428017;2654529;2085739;1955502;1613566;1679168;2296587;468778;763430;561918;545163;445240;418622;534677;5615.0;5603.0;5589.5;5591.5;5582.5;5549.5;5561.0;5621.5;5608.0;5625.0;5612.0;5590.0;5566.5;5587.0;5592.0;5578.5;5585.5;5572.5;5548.0;5546.0;5553.0;5602.5;5589.0;5591.5;5582.5;5549.5;5560.5;5576.5;560385;505404;502354;322061;379006;267332;314330;219421;185618;169277;110654;123680;85364;103717;1
2021-04-09;0.013615797708148336;0.391304347826087;0.022033373666882405;0.8660254037844387;-0.4999999999999998;0.9510565162951536;-0.30901699437494734;-0.433883739117558;-0.9009688679024191;118040;117690;117790;118175;118590;118515;117775;118125;117930;118275;118695;118590;118525;118230;117450;117205;117675;117855;118150;117730;117445;117690;117795;118175;118590;118515;117775;117815;1435508;2711656;2484255;1931937;1328873;1464397;2148737;476364;777242;682206;518178;357346;382812;551457;5605.0;5635.5;5644.0;5650.0;5661.0;5664.5;5683.0;5650.5;5653.5;5657.0;5680.5;5674.0;5685.0;5689.5;5600.0;5627.0;5640.0;5646.5;5655.0;5662.0;5673.0;5635.5;5644.0;5650.0;5661.0;5664.5;5682.5;5684.0;547110;476085;418916;416420;236319;194620;264540;200733;168019;135016;127845;74236;63703;83521;1
2021-04-12;0.012622839715350729;0.18120805369127516;0.015740848821273707;0.8660254037844387;-0.4999999999999998;0.5877852522924732;-0.8090169943749473;0.0;1.0;117475;118025;118285;118455;118410;118450;118770;118135;118540;118565;118680;118620;118790;118840;117430;117855;118235;118245;118275;118370;118255;118020;118290;118455;118415;118450;118770;118605;1237723;2787081;1818568;1684157;1332674;1446036;1937688;386638;774296;478437;439842;352037;372611;487502;5684.0;5643.0;5645.5;5668.5;5705.5;5693.0;5705.0;5684.0;5653.0;5670.0;5709.5;5714.0;5710.0;5749.0;5637.5;5639.5;5640.0;5665.5;5688.0;5688.5;5696.0;5643.0;5646.0;5668.5;5705.5;5693.0;5705.0;5735.5;556901;405070;387712;481333;220178;208835;388840;202936;131456;129002;151254;72673;70431;116684;1
