datetime;retorno_total;pavio_contra;label
2025-06-06;-875.0;150.0;Venda
2025-06-09;645.0;30.0;Compra
2025-06-10;45.0;145.0;Lateral
2025-06-11;-135.0;500.0;Lateral
2025-06-12;170.0;45.0;Compra
2025-06-13;-110.0;155.0;Venda
2025-06-16;435.0;190.0;Compra
2025-06-17;-550.0;70.0;Venda
2025-06-18;650.0;5.0;Compra
2025-06-20;-755.0;170.0;Venda
2025-06-23;175.0;170.0;Compra
2025-06-24;995.0;30.0;Compra
2025-06-25;40.0;235.0;Lateral
2025-06-26;460.0;100.0;Compra
2025-06-27;20.0;210.0;Lateral
2025-06-30;15.0;245.0;Lateral
2025-07-01;-35.0;125.0;Lateral
2025-07-02;90.0;290.0;Lateral
2025-07-03;-265.0;310.0;Lateral
2025-07-04;215.0;5.0;Compra
2025-07-07;-335.0;15.0;Venda
2025-07-08;-115.0;185.0;Venda
2025-07-09;-205.0;155.0;Venda
2025-07-10;225.0;235.0;Compra
2025-07-11;305.0;175.0;Compra
2025-07-14;-650.0;15.0;Venda
2025-07-15;-140.0;85.0;Venda
2025-07-16;-285.0;280.0;Lateral
2025-07-17;460.0;190.0;Compra
2025-07-18;-215.0;320.0;Lateral
2025-07-21;360.0;170.0;Compra
2025-07-22;60.0;210.0;Compra
2025-07-23;520.0;15.0;Compra
2025-07-24;530.0;65.0;Compra
2025-07-25;20.0;125.0;Lateral
2025-07-28;80.0;170.0;Compra
2025-07-29;390.0;35.0;Compra
2025-07-30;-475.0;150.0;Venda
2025-07-31;-220.0;145.0;Venda
2025-08-01;-55.0;490.0;Lateral
2025-08-04;450.0;60.0;Compra
2025-08-05;-890.0;185.0;Venda
2025-08-06;-510.0;15.0;Venda
2025-08-07;65.0;350.0;Lateral
2025-08-08;555.0;55.0;Compra
2025-08-11;175.0;225.0;Compra
2025-08-12;255.0;140.0;Compra
2025-08-13;-210.0;160.0;Venda
2025-08-14;1005.0;100.0;Compra
2025-08-15;-55.0;240.0;Venda
2025-08-18;845.0;0.0;Compra
2025-08-19;-450.0;30.0;Venda
2025-08-20;-265.0;175.0;Venda
2025-08-21;-215.0;230.0;Venda
2025-08-22;1885.0;0.0;Compra
2025-08-25;320.0;225.0;Compra
2025-08-26;-695.0;30.0;Venda
2025-08-27;80.0;195.0;Compra
2025-08-28;535.0;15.0;Compra
2025-08-29;220.0;60.0;Compra
2025-09-01;-355.0;95.0;Venda
2025-09-02;50.0;80.0;Lateral
2025-09-03;380.0;45.0;Compra
2025-09-04;25.0;330.0;Lateral
2025-09-05;-1005.0;155.0;Venda
2025-09-08;-425.0;55.0;Venda
2025-09-09;210.0;65.0;Compra
2025-09-10;-60.0;465.0;Lateral
2025-09-11;685.0;40.0;Compra
2025-09-12;-530.0;155.0;Venda
2025-09-15;355.0;440.0;Lateral
2025-09-16;85.0;215.0;Compra
2025-09-17;-180.0;35.0;Venda
2025-09-18;-5.0;415.0;Lateral
2025-09-19;5.0;165.0;Lateral
2025-09-22;-685.0;15.0;Venda
2025-09-23;285.0;120.0;Compra
2025-09-24;-25.0;375.0;Lateral
2025-09-25;100.0;355.0;Lateral
2025-09-26;-115.0;350.0;Lateral
2025-09-29;-305.0;90.0;Venda
2025-09-30;-825.0;20.0;Venda
2025-10-01;-720.0;55.0;Venda
2025-10-02;-1415.0;0.0;Venda
2025-10-03;-240.0;195.0;Venda
2025-10-06;20.0;350.0;Lateral
2025-10-07;-355.0;50.0;Venda
2025-10-08;330.0;80.0;Compra
2025-10-09;-95.0;150.0;Venda
2025-10-10;175.0;345.0;Lateral
2025-10-13;-10.0;195.0;Lateral
2025-10-14;200.0;145.0;Compra
2025-10-15;315.0;120.0;Compra
2025-10-16;705.0;250.0;Lateral
2025-10-17;210.0;260.0;Lateral
2025-10-20;410.0;5.0;Compra
2025-10-21;140.0;340.0;Lateral
2025-10-22;250.0;105.0;Compra
2025-10-23;35.0;200.0;Lateral
2025-10-24;-490.0;20.0;Venda
2025-10-27;185.0;320.0;Lateral
2025-10-28;85.0;25.0;Compra
2025-10-29;140.0;95.0;Compra
2025-10-30;330.0;170.0;Compra
2025-10-31;330.0;80.0;Compra
2025-11-03;360.0;275.0;Lateral
2025-11-04;410.0;205.0;Compra
2025-11-05;680.0;150.0;Compra
2025-11-06;-440.0;25.0;Venda
2025-11-07;0.0;405.0;Lateral
2025-11-10;-770.0;95.0;Venda
2025-11-11;685.0;30.0;Compra
2025-11-12;-580.0;285.0;Lateral
2025-11-13;130.0;260.0;Lateral
2025-11-14;985.0;320.0;Lateral
2025-11-17;455.0;140.0;Compra
2025-11-18;-355.0;195.0;Venda
2025-11-19;230.0;180.0;Compra
2025-11-21;-720.0;95.0;Venda
2025-11-24;500.0;70.0;Compra
2025-11-25;-185.0;135.0;Venda
2025-11-26;-45.0;250.0;Lateral
2025-11-27;-125.0;95.0;Venda
2025-11-28;-40.0;530.0;Lateral
2025-12-01;680.0;380.0;Lateral
2025-12-02;5.0;290.0;Lateral
2025-12-03;-180.0;270.0;Lateral
2025-12-04;265.0;45.0;Compra
2025-12-05;375.0;355.0;Lateral
2025-12-08;-875.0;230.0;Venda
2025-12-09;765.0;245.0;Compra
2025-12-10;50.0;335.0;Lateral
2025-12-11;420.0;100.0;Compra
2025-12-12;-350.0;20.0;Venda
2025-12-15;20.0;90.0;Lateral
