<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.02.22	09:00:00	112970	113580	112440	112740	333750	975085	5
2021.02.22	09:30:00	112745	113660	112745	113655	229517	739586	5
2021.02.22	10:00:00	113655	114020	112915	113145	464279	1555630	5
2021.02.22	10:30:00	113145	113205	112190	112295	417887	1381623	5
2021.02.22	11:00:00	112290	112435	111740	112245	366401	1153458	5
2021.02.22	11:30:00	112250	112975	112120	112725	401362	1392895	5
2021.02.22	12:00:00	112720	113125	112250	112490	305166	1050862	5
2021.02.22	12:30:00	112490	112570	112180	112410	225729	790785	5
2021.02.22	13:00:00	112415	112755	112235	112415	221728	818524	5
2021.02.22	13:30:00	112415	112835	112290	112820	177347	626957	5
2021.02.22	14:00:00	112820	113670	112755	113665	276257	1005633	5
2021.02.22	14:30:00	113660	114600	113615	113890	348791	1348429	5
2021.02.22	15:00:00	113895	114090	113600	113940	222247	853698	5
2021.02.22	15:30:00	113940	114305	113410	113455	238279	925179	5
2021.02.22	16:00:00	113455	113815	113280	113765	185661	759453	5
2021.02.22	16:30:00	113770	114015	113535	113595	196889	797681	5
2021.02.22	17:00:00	113600	113780	113390	113420	179716	712158	5
2021.02.22	17:30:00	113420	113505	112560	112645	204812	826357	5
2021.02.22	18:00:00	112645	112830	112040	112130	83561	312384	5
2021.02.23	09:00:00	113000	113795	112950	113745	297525	1000047	5
2021.02.23	09:30:00	113745	113915	113425	113865	285013	966851	5
2021.02.23	10:00:00	113865	114290	113815	114275	451053	1588101	5
2021.02.23	10:30:00	114270	114575	114135	114365	393453	1439475	5
2021.02.23	11:00:00	114360	114480	113790	114065	368548	1390914	5
2021.02.23	11:30:00	114065	114090	113175	113760	465468	1856784	5
2021.02.23	12:00:00	113755	114695	113670	114610	355760	1464541	5
2021.02.23	12:30:00	114605	114655	114130	114375	253482	1089624	5
2021.02.23	13:00:00	114370	114935	114230	114930	295831	1204064	5
2021.02.23	13:30:00	114925	115080	114600	114630	267314	1043809	5
2021.02.23	14:00:00	114630	114740	114270	114680	241613	963031	5
2021.02.23	14:30:00	114685	114695	114235	114435	230969	907110	5
2021.02.23	15:00:00	114435	115235	114375	115185	243674	1018118	5
2021.02.23	15:30:00	115180	115300	114785	114890	227712	930887	5
2021.02.23	16:00:00	114885	115200	114785	114875	195204	853112	5
2021.02.23	16:30:00	114870	115210	114600	115180	222999	1007115	5
2021.02.23	17:00:00	115180	115545	115005	115470	181771	819615	5
2021.02.23	17:30:00	115465	115540	115185	115285	149190	665071	5
2021.02.23	18:00:00	115280	115750	115250	115515	70576	273647	5
2021.02.24	09:00:00	115515	116065	115490	116020	226959	694301	5
2021.02.24	09:30:00	116020	116240	115810	116110	257347	849878	5
2021.02.24	10:00:00	116110	116360	115815	115820	436821	1536029	5
2021.02.24	10:30:00	115820	116010	115275	115435	439702	1628373	5
2021.02.24	11:00:00	115440	115590	114900	114965	330034	1321557	5
2021.02.24	11:30:00	114965	115225	114745	115035	412151	1722577	5
2021.02.24	12:00:00	115035	115440	114890	115235	271189	1146270	5
2021.02.24	12:30:00	115235	115630	115115	115615	231116	974785	5
2021.02.24	13:00:00	115615	115965	115570	115795	192331	776088	5
2021.02.24	13:30:00	115795	115940	115560	115730	203948	847150	5
2021.02.24	14:00:00	115730	116220	115725	116190	219752	885738	5
2021.02.24	14:30:00	116190	116215	115870	115980	196287	788573	5
2021.02.24	15:00:00	115980	116130	115850	116005	176551	715601	5
2021.02.24	15:30:00	116005	116175	115675	115780	191310	779382	5
2021.02.24	16:00:00	115780	115835	115375	115575	197233	880491	5
2021.02.24	16:30:00	115580	115900	115520	115815	163775	733595	5
2021.02.24	17:00:00	115815	116025	115740	115950	144437	636840	5
2021.02.24	17:30:00	115950	116070	115655	115800	127017	587467	5
2021.02.24	18:00:00	115795	116055	115735	115945	43530	183009	5
2021.02.25	09:00:00	116000	116220	115720	115805	231604	737014	5
2021.02.25	09:30:00	115805	115945	115705	115880	193180	653657	5
2021.02.25	10:00:00	115880	116245	115770	116045	393246	1424520	5
2021.02.25	10:30:00	116045	116510	115910	116230	304117	1164792	5
2021.02.25	11:00:00	116235	116575	115960	116515	326144	1218818	5
2021.02.25	11:30:00	116515	116720	116400	116435	284430	1101462	5
2021.02.25	12:00:00	116430	116455	115890	116050	360085	1446644	5
2021.02.25	12:30:00	116045	116050	115035	115335	372892	1559467	5
2021.02.25	13:00:00	115330	115510	115130	115230	240249	979512	5
2021.02.25	13:30:00	115230	115245	114440	114465	311562	1284879	5
2021.02.25	14:00:00	114465	114790	114395	114535	287833	1166575	5
2021.02.25	14:30:00	114535	114540	114050	114075	291583	1256063	5
2021.02.25	15:00:00	114075	114195	113445	113920	397004	1728807	5
2021.02.25	15:30:00	113925	114010	113185	113220	283368	1263045	5
2021.02.25	16:00:00	113220	114040	113095	113775	252429	1256304	5
2021.02.25	16:30:00	113775	113780	113050	113100	251216	1197925	5
2021.02.25	17:00:00	113105	113230	112255	112435	284547	1390848	5
2021.02.25	17:30:00	112430	112525	111855	112225	236485	1224992	5
2021.02.25	18:00:00	112215	112355	111815	112000	58726	245099	5
2021.02.26	09:00:00	112245	113035	112155	113030	305934	985588	5
2021.02.26	09:30:00	113035	113115	112680	112755	285679	1001067	5
2021.02.26	10:00:00	112755	113215	112170	112300	458803	1616963	5
2021.02.26	10:30:00	112300	113525	112235	113520	449508	1664668	5
2021.02.26	11:00:00	113515	113660	113130	113345	295532	1116108	5
2021.02.26	11:30:00	113345	113420	112330	112350	429457	1707329	5
2021.02.26	12:00:00	112350	112370	110890	110950	446403	1965357	5
2021.02.26	12:30:00	110955	111840	110830	111225	331281	1500543	5
2021.02.26	13:00:00	111220	111820	110985	111205	282253	1172701	5
2021.02.26	13:30:00	111205	111725	111135	111290	223225	930324	5
2021.02.26	14:00:00	111290	111845	111180	111320	233247	1013530	5
2021.02.26	14:30:00	111320	112120	111290	111760	240077	1075757	5
2021.02.26	15:00:00	111760	112460	111500	112400	251481	1122449	5
2021.02.26	15:30:00	112405	112470	111550	111580	278352	1200318	5
2021.02.26	16:00:00	111585	111775	110620	110780	293498	1331596	5
2021.02.26	16:30:00	110780	111055	110220	110300	282284	1287377	5
2021.02.26	17:00:00	110305	110765	109970	110115	205559	914582	5
2021.02.26	17:30:00	110115	110655	109950	109975	190271	803580	5
2021.02.26	18:00:00	109975	110150	109765	109800	73253	280629	5
2021.03.01	09:00:00	111350	111885	111235	111580	246164	814773	5
2021.03.01	09:30:00	111575	111690	111410	111590	185901	620788	5
2021.03.01	10:00:00	111595	111865	111145	111185	390295	1326001	5
2021.03.01	10:30:00	111190	111710	110635	110890	461408	1671680	5
2021.03.01	11:00:00	110890	111140	110670	111055	361476	1384572	5
2021.03.01	11:30:00	111050	111185	110450	111040	471243	1825718	5
2021.03.01	12:00:00	111040	111780	110915	111230	376499	1471143	5
2021.03.01	12:30:00	111230	111935	111110	111810	327839	1322215	5
2021.03.01	13:00:00	111810	112290	111645	112140	251159	1052905	5
2021.03.01	13:30:00	112140	112380	112035	112080	206677	851281	5
2021.03.01	14:00:00	112080	112445	112080	112135	230984	898153	5
