<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.18	09:00:00	120730	121045	119960	120225	129417	384850	5
2021.01.18	09:10:00	120225	120665	120155	120570	86876	271783	5
2021.01.18	09:20:00	120565	120800	120555	120735	71138	228330	5
2021.01.18	09:30:00	120730	120950	120685	120930	58836	189082	5
2021.01.18	09:40:00	120930	121040	120705	120745	88866	283994	5
2021.01.18	09:50:00	120745	120930	120640	120845	74934	270318	5
2021.01.18	10:00:00	120845	121325	120705	121145	161013	541363	5
2021.01.18	10:10:00	121145	121535	121055	121395	139155	492925	5
2021.01.18	10:20:00	121390	121550	121325	121470	81239	299571	5
2021.01.18	10:30:00	121470	121640	121450	121530	80647	313289	5
2021.01.18	10:40:00	121525	121650	121430	121535	74325	299584	5
2021.01.18	10:50:00	121540	121675	121455	121570	74123	268487	5
2021.01.18	11:00:00	121570	121885	121550	121740	94391	376121	5
2021.01.18	11:10:00	121745	121925	121665	121765	75057	298828	5
2021.01.18	11:20:00	121765	121820	121610	121735	66390	300249	5
2021.01.18	11:30:00	121735	122035	121710	122000	91698	367308	5
2021.01.18	11:40:00	122005	122075	121890	122005	75032	321756	5
2021.01.18	11:50:00	122000	122640	121995	122630	141486	516668	5
2021.01.18	12:00:00	122635	122780	122430	122480	91829	346505	5
2021.01.18	12:10:00	122480	122580	122430	122475	43299	181711	5
2021.01.18	12:20:00	122480	122700	122440	122580	59846	227076	5
2021.01.18	12:30:00	122580	122625	122485	122530	41201	177566	5
2021.01.18	12:40:00	122525	122615	122305	122380	58408	214138	5
2021.01.18	12:50:00	122380	122465	122165	122395	86276	333222	5
2021.01.18	13:00:00	122395	122405	122120	122165	62233	234593	5
2021.01.18	13:10:00	122165	122220	122055	122100	49549	197254	5
2021.01.18	13:20:00	122100	122130	121935	122010	55918	222431	5
2021.01.18	13:30:00	122015	122155	121955	121985	54288	222635	5
2021.01.18	13:40:00	121985	122130	121900	122050	56869	211894	5
2021.01.18	13:50:00	122050	122150	122040	122085	33694	138809	5
2021.01.18	14:00:00	122085	122315	122080	122230	61693	242560	5
2021.01.18	14:10:00	122225	122285	122085	122135	45776	177718	5
2021.01.18	14:20:00	122140	122220	122060	122140	45823	183156	5
2021.01.18	14:30:00	122145	122220	122025	122140	47142	192513	5
2021.01.18	14:40:00	122145	122195	122015	122080	36736	154351	5
2021.01.18	14:50:00	122080	122195	122065	122140	29290	119004	5
