datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick
2021-03-01 09:00:00;111350;111590;111885;111235;1435561;432065
2021-03-01 10:00:00;111595;110890;111865;110635;2997681;851703
2021-03-01 11:00:00;110890;111040;111185;110450;3210290;832719
2021-03-02 09:00:00;110000;109330;110600;108960;2259415;700570
2021-03-02 10:00:00;109335;108415;109345;107330;3633547;972441
2021-03-02 11:00:00;108410;108535;108895;107715;3559399;910416
2021-03-03 09:00:00;112650;111540;112650;111450;1818143;597011
2021-03-03 10:00:00;111545;111145;111550;110920;3315155;1044602
2021-03-03 11:00:00;111140;109540;111335;109380;3464480;969804
2021-03-04 09:00:00;111600;111985;112895;111000;1990572;715555
2021-03-04 10:00:00;111980;113295;113425;111440;3148555;1115794
2021-03-04 11:00:00;113300;113425;114375;113190;2998643;944821
2021-03-05 09:00:00;113665;112905;113665;112825;1446297;510049
2021-03-05 10:00:00;112905;114045;114100;112415;2792583;977651
2021-03-05 11:00:00;114045;114415;114865;113970;2831783;877277
2021-03-08 09:00:00;114150;113330;114225;113040;1921531;671984
2021-03-08 10:00:00;113330;113930;114075;112900;3159703;1015521
2021-03-08 11:00:00;113930;113645;114470;113440;3303813;994287
2021-03-09 09:00:00;110500;110180;111100;109435;2830193;991525
2021-03-09 10:00:00;110180;110700;110880;109405;3155177;1019277
2021-03-09 11:00:00;110700;110690;111220;110185;3089949;942855
2021-03-10 09:00:00;111550;111840;112440;111515;1994904;709149
2021-03-10 10:00:00;111845;112060;112565;111415;3049370;974253
2021-03-10 11:00:00;112055;112260;112370;111670;2623664;751013
2021-03-11 09:00:00;114065;113995;114240;113795;1119876;412268
2021-03-11 10:00:00;113995;114390;114400;113755;2346534;767809
2021-03-11 11:00:00;114390;113935;114595;113865;2339315;743777
2021-03-12 09:00:00;113970;114220;114265;113835;1180642;415225
2021-03-12 10:00:00;114220;114085;114540;113880;2085513;676418
2021-03-12 11:00:00;114085;113885;114215;113525;2184933;640799
2021-03-15 09:00:00;114485;113670;114500;113625;1374928;451361
2021-03-15 10:00:00;113665;114360;114445;113520;2571751;762113
2021-03-15 11:00:00;114355;114760;114945;114255;2286470;660748
2021-03-16 09:00:00;115205;114965;115260;114835;1221363;406896
2021-03-16 10:00:00;114970;114460;115050;114425;2605050;758854
2021-03-16 11:00:00;114465;114680;114740;114345;1930216;550396
2021-03-17 09:00:00;113645;113455;113680;113135;1452183;476000
2021-03-17 10:00:00;113455;113940;113975;113320;2286494;653647
