<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.10	09:52:00	5571.000	5574.500	5571.000	5571.500	3338	12685	500
2025.06.10	09:53:00	5572.000	5573.000	5570.000	5571.500	1318	4005	500
2025.06.10	09:54:00	5571.500	5572.500	5570.000	5572.000	1470	5791	500
2025.06.10	09:55:00	5571.500	5574.500	5570.500	5574.000	2940	14529	500
2025.06.10	09:56:00	5574.000	5578.500	5574.000	5578.500	4326	9837	500
2025.06.10	09:57:00	5578.500	5580.000	5575.500	5575.500	3118	8947	500
2025.06.10	09:58:00	5575.500	5579.000	5575.000	5578.500	1739	5061	500
2025.06.10	09:59:00	5578.000	5578.500	5573.000	5576.000	3175	8962	500
2025.06.10	10:00:00	5576.500	5576.500	5574.000	5575.000	1763	5539	500
2025.06.10	10:01:00	5575.000	5576.500	5573.500	5575.000	1476	5512	500
2025.06.10	10:02:00	5575.000	5576.500	5575.000	5576.000	929	2840	500
2025.06.10	10:03:00	5576.000	5577.000	5574.500	5576.000	1122	4106	500
2025.06.10	10:04:00	5575.500	5576.500	5573.000	5573.500	1369	4379	500
2025.06.10	10:05:00	5573.500	5577.500	5573.500	5577.500	1507	4418	500
2025.06.10	10:06:00	5577.500	5578.000	5573.500	5575.000	2295	7184	500
2025.06.10	10:07:00	5575.500	5575.500	5573.000	5574.500	1136	3628	500
2025.06.10	10:08:00	5574.000	5576.000	5574.000	5575.000	1000	3325	500
2025.06.10	10:09:00	5575.000	5577.000	5573.500	5574.000	1001	2467	500
2025.06.10	10:10:00	5574.000	5577.000	5573.500	5575.500	979	2837	500
2025.06.10	10:11:00	5575.500	5577.000	5574.500	5577.000	894	2871	500
2025.06.10	10:12:00	5576.500	5577.000	5574.500	5576.500	1256	3911	500
2025.06.10	10:13:00	5576.500	5577.000	5575.000	5576.000	615	2047	500
2025.06.10	10:14:00	5576.000	5576.000	5572.500	5573.000	1711	4990	500
2025.06.10	10:15:00	5573.000	5574.000	5571.000	5571.500	2326	6895	500
2025.06.10	10:16:00	5571.500	5572.000	5570.000	5572.000	2473	7343	500
2025.06.10	10:17:00	5572.000	5573.000	5570.500	5570.500	1608	4658	500
2025.06.10	10:18:00	5570.500	5571.500	5569.500	5569.500	2026	7608	500
2025.06.10	10:19:00	5569.500	5572.000	5569.000	5571.000	2483	7615	500
2025.06.10	10:20:00	5571.500	5573.500	5571.000	5572.000	2339	7029	500
2025.06.10	10:21:00	5572.500	5573.500	5571.000	5572.000	872	2323	500
2025.06.10	10:22:00	5572.000	5574.000	5569.000	5572.500	3380	11560	500
2025.06.10	10:23:00	5573.000	5573.500	5571.000	5573.500	1328	5488	500
2025.06.10	10:24:00	5573.500	5576.500	5572.500	5576.500	3555	10423	500
2025.06.10	10:25:00	5576.000	5577.500	5575.000	5575.000	2174	5302	500
2025.06.10	10:26:00	5574.500	5575.000	5572.500	5575.000	2005	5128	500
2025.06.10	10:27:00	5575.000	5576.000	5573.500	5574.500	1343	3908	500
2025.06.10	10:28:00	5575.000	5576.000	5574.000	5575.000	680	2084	500
