<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.02.22	09:00:00	5510.000	5534.500	5501.500	5523.000	125746	407160	500
2021.02.22	09:30:00	5522.500	5529.500	5504.500	5512.000	85477	273828	500
2021.02.22	10:00:00	5512.500	5527.000	5502.000	5526.000	96898	312286	500
2021.02.22	10:30:00	5525.500	5535.500	5511.500	5528.500	78369	243499	500
2021.02.22	11:00:00	5528.000	5535.000	5492.500	5522.500	76100	274142	500
2021.02.22	11:30:00	5522.000	5529.500	5489.000	5491.500	78008	274564	500
2021.02.22	12:00:00	5491.500	5502.500	5476.000	5491.500	81728	287682	500
2021.02.22	12:30:00	5491.500	5508.000	5487.500	5495.500	53501	182609	500
2021.02.22	13:00:00	5495.500	5502.000	5482.500	5485.000	38800	140020	500
2021.02.22	13:30:00	5485.000	5491.000	5474.000	5479.500	37932	129555	500
2021.02.22	14:00:00	5480.000	5488.500	5463.500	5464.500	49896	167585	500
2021.02.22	14:30:00	5464.500	5465.500	5448.500	5458.500	47736	168687	500
2021.02.22	15:00:00	5458.500	5462.000	5443.500	5445.500	37358	134607	500
2021.02.22	15:30:00	5445.000	5452.000	5435.000	5443.500	42059	161337	500
2021.02.22	16:00:00	5443.500	5445.000	5433.000	5442.500	27712	97533	500
2021.02.22	16:30:00	5442.500	5458.500	5442.000	5455.500	31153	113790	500
2021.02.22	17:00:00	5456.000	5463.000	5454.000	5460.000	25510	96193	500
2021.02.22	17:30:00	5460.000	5471.500	5450.500	5461.000	30914	107732	500
2021.02.22	18:00:00	5461.500	5469.500	5453.000	5467.000	13953	58484	500
2021.02.23	09:00:00	5452.500	5462.000	5438.500	5454.000	97004	263210	500
2021.02.23	09:30:00	5454.000	5465.000	5442.500	5447.000	94305	261346	500
2021.02.23	10:00:00	5447.000	5451.500	5435.000	5447.000	94880	258066	500
2021.02.23	10:30:00	5447.000	5469.500	5444.500	5464.000	77557	232077	500
2021.02.23	11:00:00	5464.500	5476.000	5454.000	5465.500	85230	266326	500
2021.02.23	11:30:00	5465.000	5484.500	5465.000	5473.500	84747	282088	500
2021.02.23	12:00:00	5474.000	5475.500	5429.500	5436.500	97761	343495	500
2021.02.23	12:30:00	5436.000	5439.500	5418.000	5421.000	74324	263735	500
2021.02.23	13:00:00	5420.500	5429.000	5409.000	5420.500	58602	216000	500
2021.02.23	13:30:00	5421.000	5434.500	5417.000	5429.000	42386	144291	500
2021.02.23	14:00:00	5429.500	5444.500	5428.500	5441.500	40868	147689	500
2021.02.23	14:30:00	5442.000	5447.500	5433.500	5444.500	39309	141273	500
2021.02.23	15:00:00	5444.500	5446.500	5421.500	5428.500	46941	164031	500
2021.02.23	15:30:00	5428.000	5446.000	5423.000	5445.000	41814	164762	500
2021.02.23	16:00:00	5445.000	5459.500	5443.500	5453.000	45305	172053	500
2021.02.23	16:30:00	5452.500	5458.500	5440.000	5445.000	34981	139098	500
2021.02.23	17:00:00	5445.500	5445.500	5433.500	5434.500	26865	102548	500
2021.02.23	17:30:00	5434.500	5444.500	5432.000	5441.500	18745	67600	500
2021.02.23	18:00:00	5441.500	5444.500	5433.000	5442.500	8643	42474	500
2021.02.24	09:00:00	5417.500	5425.000	5400.500	5403.000	87774	251871	500
2021.02.24	09:30:00	5403.000	5409.500	5391.000	5400.500	96254	279548	500
2021.02.24	10:00:00	5400.500	5427.000	5396.000	5422.000	120053	387395	500
2021.02.24	10:30:00	5422.000	5433.500	5418.000	5423.000	85403	283250	500
2021.02.24	11:00:00	5423.500	5440.000	5415.500	5433.500	93600	325462	500
2021.02.24	11:30:00	5434.000	5444.000	5428.000	5432.000	78618	281364	500
2021.02.24	12:00:00	5432.500	5439.500	5411.500	5418.500	69261	243082	500
2021.02.24	12:30:00	5418.500	5432.000	5414.500	5424.500	45298	161214	500
2021.02.24	13:00:00	5425.000	5428.500	5408.500	5416.000	42648	163908	500
2021.02.24	13:30:00	5416.500	5434.500	5411.000	5426.000	45169	159990	500
2021.02.24	14:00:00	5426.000	5430.000	5415.000	5422.500	31744	117352	500
2021.02.24	14:30:00	5422.500	5424.500	5415.500	5420.500	25469	94571	500
2021.02.24	15:00:00	5420.500	5432.000	5418.500	5429.000	29281	113932	500
2021.02.24	15:30:00	5429.000	5431.000	5422.500	5424.500	25665	97976	500
2021.02.24	16:00:00	5424.500	5438.500	5424.000	5433.500	28733	110287	500
2021.02.24	16:30:00	5434.000	5434.000	5420.000	5421.000	22504	81932	500
2021.02.24	17:00:00	5421.000	5427.000	5418.000	5419.500	18595	67869	500
2021.02.24	17:30:00	5419.000	5423.500	5414.000	5415.500	15068	58950	500
2021.02.24	18:00:00	5415.500	5420.500	5400.000	5405.000	7792	33512	500
2021.02.25	09:00:00	5436.500	5438.500	5418.500	5431.000	87567	258987	500
2021.02.25	09:30:00	5430.500	5443.500	5425.000	5443.000	75984	224200	500
2021.02.25	10:00:00	5442.500	5453.000	5434.500	5442.000	92835	291246	500
2021.02.25	10:30:00	5442.000	5444.000	5423.000	5442.500	92541	287193	500
2021.02.25	11:00:00	5442.000	5460.000	5431.000	5453.000	91160	313700	500
2021.02.25	11:30:00	5453.000	5456.000	5439.500	5455.500	66528	248014	500
2021.02.25	12:00:00	5456.000	5490.000	5454.000	5485.500	91975	356579	500
2021.02.25	12:30:00	5485.500	5509.000	5485.500	5505.500	79115	306830	500
2021.02.25	13:00:00	5505.500	5513.500	5467.500	5471.000	85291	388534	500
2021.02.25	13:30:00	5470.500	5502.500	5469.500	5492.000	60176	246312	500
2021.02.25	14:00:00	5492.500	5507.500	5486.500	5505.000	45716	195735	500
2021.02.25	14:30:00	5504.500	5518.000	5503.000	5514.000	46552	174505	500
2021.02.25	15:00:00	5514.000	5536.500	5506.500	5524.000	88578	349742	500
2021.02.25	15:30:00	5524.500	5538.500	5500.000	5513.000	69365	287911	500
2021.02.25	16:00:00	5512.500	5518.500	5499.000	5505.000	39147	144730	500
2021.02.25	16:30:00	5505.500	5512.000	5502.000	5511.500	23394	96661	500
2021.02.25	17:00:00	5511.500	5522.000	5507.000	5521.000	24949	102632	500
2021.02.25	17:30:00	5521.000	5532.500	5515.000	5522.000	26348	99150	500
2021.02.25	18:00:00	5522.000	5541.500	5518.000	5535.500	11432	56766	500
2021.02.26	09:00:00	5536.500	5547.500	5516.500	5528.500	96427	268485	500
2021.02.26	09:30:00	5529.000	5534.500	5510.500	5522.500	88962	247366	500
2021.02.26	10:00:00	5522.000	5526.000	5503.000	5517.000	83216	258950	500
