datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick
2021-03-01 09:00:00;111350;111590;111885;111235;1435561;432065
2021-03-01 10:00:00;111595;110890;111865;110635;2997681;851703
2021-03-01 11:00:00;110890;111040;111185;110450;3210290;832719
2021-03-01 12:00:00;111040;111810;111935;110915;2793358;704338
2021-03-01 13:00:00;111810;112080;112380;111645;1904186;457836
2021-03-01 14:00:00;112080;112145;112670;112080;1989482;501510
2021-03-01 15:00:00;112145;112345;112435;111700;2160378;523045
2021-03-01 16:00:00;112340;111420;112555;111390;2116244;473224
2021-03-01 17:00:00;111420;110340;111645;110250;2459782;571299
2021-03-01 18:00:00;110345;110470;110470;110060;339869;86420
2021-03-02 09:00:00;110000;109330;110600;108960;2259415;700570
2021-03-02 10:00:00;109335;108415;109345;107330;3633547;972441
2021-03-02 11:00:00;108410;108535;108895;107715;3559399;910416
2021-03-02 12:00:00;108535;109270;109390;108440;2883888;699750
2021-03-02 13:00:00;109275;108890;109305;108280;2196884;523593
2021-03-02 14:00:00;108890;110075;110370;108790;2656522;608233
2021-03-02 15:00:00;110075;111925;112190;110075;2666853;606063
2021-03-02 16:00:00;111930;112380;112620;110570;2581757;643011
2021-03-02 17:00:00;112380;111560;112630;111395;1588841;458058
2021-03-02 18:00:00;111560;111980;112185;111425;290704;80425
2021-03-03 09:00:00;112650;111540;112650;111450;1818143;597011
2021-03-03 10:00:00;111545;111145;111550;110920;3315155;1044602
2021-03-03 11:00:00;111140;109540;111335;109380;3464480;969804
2021-03-03 12:00:00;109535;108970;109740;108670;3488333;921172
2021-03-03 13:00:00;108970;109260;109600;108550;2615974;689552
2021-03-03 14:00:00;109260;109035;109430;108760;2204246;580417
2021-03-03 15:00:00;109040;108130;109040;107940;2637692;727364
2021-03-03 16:00:00;108125;111835;112775;107550;4050930;1174078
2021-03-03 17:00:00;111830;111105;112385;110455;1953908;915110
2021-03-03 18:00:00;111110;111335;111690;110905;256269;115338
2021-03-04 09:00:00;111600;111985;112895;111000;1990572;715555
2021-03-04 10:00:00;111980;113295;113425;111440;3148555;1115794
2021-03-04 11:00:00;113300;113425;114375;113190;2998643;944821
2021-03-04 12:00:00;113425;114270;114700;112725;2990229;931503
2021-03-04 13:00:00;114265;113815;114520;113330;2271251;708189
2021-03-04 14:00:00;113810;112655;114260;112580;2926330;897887
2021-03-04 15:00:00;112655;111785;113075;111555;2800896;872888
2021-03-04 16:00:00;111790;112550;112950;111650;2505426;740333
