datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick
2021-02-22 09:00:00;112970;112740;113580;112440;975085;333750
2021-02-22 09:30:00;112745;113655;113660;112745;739586;229517
2021-02-22 10:00:00;113655;113145;114020;112915;1555630;464279
2021-02-22 10:30:00;113145;112295;113205;112190;1381623;417887
2021-02-22 11:00:00;112290;112245;112435;111740;1153458;366401
2021-02-22 11:30:00;112250;112725;112975;112120;1392895;401362
2021-02-22 12:00:00;112720;112490;113125;112250;1050862;305166
2021-02-22 12:30:00;112490;112410;112570;112180;790785;225729
2021-02-22 13:00:00;112415;112415;112755;112235;818524;221728
2021-02-22 13:30:00;112415;112820;112835;112290;626957;177347
2021-02-22 14:00:00;112820;113665;113670;112755;1005633;276257
2021-02-22 14:30:00;113660;113890;114600;113615;1348429;348791
2021-02-22 15:00:00;113895;113940;114090;113600;853698;222247
2021-02-22 15:30:00;113940;113455;114305;113410;925179;238279
2021-02-22 16:00:00;113455;113765;113815;113280;759453;185661
2021-02-22 16:30:00;113770;113595;114015;113535;797681;196889
2021-02-22 17:00:00;113600;113420;113780;113390;712158;179716
2021-02-22 17:30:00;113420;112645;113505;112560;826357;204812
2021-02-22 18:00:00;112645;112130;112830;112040;312384;83561
2021-02-23 09:00:00;113000;113745;113795;112950;1000047;297525
2021-02-23 09:30:00;113745;113865;113915;113425;966851;285013
2021-02-23 10:00:00;113865;114275;114290;113815;1588101;451053
2021-02-23 10:30:00;114270;114365;114575;114135;1439475;393453
2021-02-23 11:00:00;114360;114065;114480;113790;1390914;368548
2021-02-23 11:30:00;114065;113760;114090;113175;1856784;465468
2021-02-23 12:00:00;113755;114610;114695;113670;1464541;355760
2021-02-23 12:30:00;114605;114375;114655;114130;1089624;253482
2021-02-23 13:00:00;114370;114930;114935;114230;1204064;295831
2021-02-23 13:30:00;114925;114630;115080;114600;1043809;267314
2021-02-23 14:00:00;114630;114680;114740;114270;963031;241613
2021-02-23 14:30:00;114685;114435;114695;114235;907110;230969
2021-02-23 15:00:00;114435;115185;115235;114375;1018118;243674
2021-02-23 15:30:00;115180;114890;115300;114785;930887;227712
2021-02-23 16:00:00;114885;114875;115200;114785;853112;195204
2021-02-23 16:30:00;114870;115180;115210;114600;1007115;222999
2021-02-23 17:00:00;115180;115470;115545;115005;819615;181771
2021-02-23 17:30:00;115465;115285;115540;115185;665071;149190
2021-02-23 18:00:00;115280;115515;115750;115250;273647;70576
2021-02-24 09:00:00;115515;116020;116065;115490;694301;226959
2021-02-24 09:30:00;116020;116110;116240;115810;849878;257347
2021-02-24 10:00:00;116110;115820;116360;115815;1536029;436821
2021-02-24 10:30:00;115820;115435;116010;115275;1628373;439702
2021-02-24 11:00:00;115440;114965;115590;114900;1321557;330034
2021-02-24 11:30:00;114965;115035;115225;114745;1722577;412151
2021-02-24 12:00:00;115035;115235;115440;114890;1146270;271189
2021-02-24 12:30:00;115235;115615;115630;115115;974785;231116
2021-02-24 13:00:00;115615;115795;115965;115570;776088;192331
2021-02-24 13:30:00;115795;115730;115940;115560;847150;203948
2021-02-24 14:00:00;115730;116190;116220;115725;885738;219752
2021-02-24 14:30:00;116190;115980;116215;115870;788573;196287
2021-02-24 15:00:00;115980;116005;116130;115850;715601;176551
2021-02-24 15:30:00;116005;115780;116175;115675;779382;191310
2021-02-24 16:00:00;115780;115575;115835;115375;880491;197233
2021-02-24 16:30:00;115580;115815;115900;115520;733595;163775
2021-02-24 17:00:00;115815;115950;116025;115740;636840;144437
2021-02-24 17:30:00;115950;115800;116070;115655;587467;127017
2021-02-24 18:00:00;115795;115945;116055;115735;183009;43530
2021-02-25 09:00:00;116000;115805;116220;115720;737014;231604
2021-02-25 09:30:00;115805;115880;115945;115705;653657;193180
