;range_dia_anterior;posicao_range_d1;distancia_mm20;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;mov_direcional_c1;mov_direcional_c2;mov_direcional_c3;mov_direcional_c4;pavio_superior_c1;pavio_superior_c2;pavio_superior_c3;pavio_superior_c4;pavio_inferior_c1;pavio_inferior_c2;pavio_inferior_c3;pavio_inferior_c4;range_candle_c1;range_candle_c2;range_candle_c3;range_candle_c4;tamanho_medio_ordem_c1;tamanho_medio_ordem_c2;tamanho_medio_ordem_c3;tamanho_medio_ordem_c4;pavio_superior_dolar_c1;pavio_superior_dolar_c2;pavio_superior_dolar_c3;pavio_superior_dolar_c4;pavio_inferior_dolar_c1;pavio_inferior_dolar_c2;pavio_inferior_dolar_c3;pavio_inferior_dolar_c4;range_candle_dolar_c1;range_candle_dolar_c2;range_candle_dolar_c3;range_candle_dolar_c4;volume_real_norm_dolar_c1;volume_real_norm_dolar_c2;volume_real_norm_dolar_c3;volume_real_norm_dolar_c4;tamanho_medio_ordem_dolar_c1;tamanho_medio_ordem_dolar_c2;tamanho_medio_ordem_dolar_c3;tamanho_medio_ordem_dolar_c4;correlacao_movel_WIN_WDO_c1;correlacao_movel_WIN_WDO_c2;correlacao_movel_WIN_WDO_c3;correlacao_movel_WIN_WDO_c4;ratio_vol_WIN_WDO_c1;ratio_vol_WIN_WDO_c2;ratio_vol_WIN_WDO_c3;ratio_vol_WIN_WDO_c4;label_Compra;label_Lateral;label_Venda
2021-03-22;0.016361426959465325;0.7612732095490716;0.024693209587917177;1.0;6.123233995736766e-17;-0.9680771188662041;-0.2506525322587213;0.0;1.0;-1;-1;1;-1;0.00021523891519586742;0.00012990949638418567;0.001953125;0.0006509851575384081;0.0004735256134309083;0.0006062443164595332;0.0024305555555555556;0.00160576338859474;0.006629358588032716;0.003031221582297666;0.004427083333333333;0.005815467407343113;2.768370012881688;3.204094044677249;3.2465190642467032;3.4044034209180336;0.000544464609800363;0.0010877447425670776;0.000631370073058537;0.0009045680687471732;0.0023593466424682396;0.0008158085569253082;0.0017137187697303148;0.0004522840343735866;0.003992740471869328;0.006889050036258158;0.005321547758636241;0.004432383536861149;1.4102781465913103;1.5873244896408367;1.2670623120343212;1.3332640682699761;2.6862481932686353;2.7285804833686997;2.644671616470951;2.842336899284962;-0.7791982449781167;-0.7758818704758885;-0.7523978024592066;-0.7264788294951213;2.3457358084476727;1.9687041301391077;5.286252801172952;5.5815018350735;False;False;True
2021-03-23;0.021911321566939302;0.3143418467583497;0.008056168540860059;1.0;6.123233995736766e-17;-0.9987165071710528;-0.05064916883871355;0.7818314824680298;0.6234898018587336;-1;1;-1;1;0.0019225727519007253;0.00192754194594121;0.0025358516963973417;0.0027544596012591817;0.0009612863759503626;0.0008323476584746134;0.003279118572927597;0.0017925848198670864;0.005461854408808879;0.004731239321855697;0.005858691850297307;0.005640083945435467;2.97021908964415;3.068229658125862;3.255440831037904;3.2828553793561865;0.0012630819198845183;0.0006310854670032456;0.0016316171138506164;0.0009070294784580499;0.0013533020570191266;0.000721240533717995;0.001994198694706309;0.0008163265306122449;0.0033381450739805125;0.006851785070320952;0.004260333575054388;0.0021768707482993197;1.8907578610246047;2.0890882069805925;1.974880469470428;1.0744602872195441;2.8252278565647324;2.837397988607905;2.8714469160349614;3.026648145487059;-0.8358458008503714;-0.7786039189675088;-0.7155800280653449;-0.6249337979758913;2.6389091294085407;2.7070011554899693;3.8906687286135524;8.0245882613604;False;True;False
2021-03-24;0.023638905881324827;0.20702402957486138;0.0016336014850120923;1.0;6.123233995736766e-17;-0.9884683243281114;0.15142777750457667;0.9749279121818236;-0.22252093395631434;1;-1;1;1;0.0032134524805211956;0.0003073815483247706;0.002548330404217926;0.0021966435286881643;0.0002641193819606462;0.0032494620822904317;0.0024165202108963092;0.0010104560231965556;0.0059867059911079806;0.004127695077504062;0.005096660808435852;0.004964414374835252;3.0171065139131197;3.4066669680457076;3.490151880071429;3.5455683537389975;0.0006352087114337568;0.0038988122223229667;0.0008158085569253082;0.0019866353621094453;0.003176043557168784;0.001994741137002448;9.064539521392314e-05;0.0013545241105291674;0.004718693284936479;0.006074893462689274;0.00462291515591008;0.0035217626873758354;1.6000305681038562;1.9319466733868784;1.5195872746202228;1.6261255956860863;2.756506291635825;2.779520189165668;3.153857081971871;3.122929685792947;-0.4110968082494089;-0.44408874121347314;-0.5013420806417014;-0.5485644719940892;2.8296223098212336;2.8937348614639333;4.922856606606606;5.13232207326971;False;True;False
2021-03-25;0.029185191706651407;0.05580693815987934;-0.012118816079793801;1.0;6.123233995736766e-17;-0.9377521321470804;0.3473052528448203;0.43388373911755823;-0.900968867902419;-1;1;1;1;0.004382042568413522;0.0009405652349173646;0.0004028648164726947;0.00174006157140945;0.004292613128241817;0.003269583911855601;0.007699194270367055;0.003524740106188373;0.01028438561974602;0.004792403816007524;0.011369740376007163;0.006558693615312542;2.8908628091989206;2.955604852782126;3.1603916007136648;3.4171620026036673;0.00248778320746335;0.001238061549345596;0.0008809020436927414;0.0006179924075218504;0.0014215904042647713;0.0007074637424831977;0.0;0.0012359848150437008;0.008618391825855175;0.005748142907675982;0.003171247357293869;0.005032223889820782;1.8944791411168838;1.5817988068086914;1.1927935226097384;1.5874530580787871;2.991712051034085;2.799797529105191;3.010931952267813;2.8323740205726167;-0.6191002294964163;-0.7021285142571967;-0.7339082677489027;-0.7738845852011358;3.5454831584290085;2.8637072798371546;6.125112491299934;5.5493097164134095;False;True;False
2021-03-26;0.029377571096404938;0.8812785388127854;0.004127397532390139;1.0;6.123233995736766e-17;-0.8486442574947509;0.5289640103269624;-0.433883739117558;-0.9009688679024191;-1;1;1;1;0.0;0.0011906336817039292;0.00021996392591614976;0.0013053694195457315;0.0020222446916076846;0.0014111214005379901;0.00039593506664906955;0.00021756156992428858;0.005099573570141117;0.0050271199894165895;0.011658088073555936;0.004264206770516056;2.7507151630733424;3.089322937073897;3.408957572992701;3.584216046145779;0.0014149274849663955;0.0014038782135649733;0.0006130133987214292;0.0016697425081290097;0.0015033604527767952;0.0;0.0008757334267448988;0.0010545742156604272;0.010788822072868765;0.0033342107572168116;0.004991680532445923;0.0032516038316196504;1.4884487619052291;1.4269067174056544;1.275667243912972;1.1778159040414624;2.7488627569414295;3.0171754697679427;2.9505753476180963;3.036406976592724;0.205895081129664;0.3805552432178219;0.4951741056045983;0.5314801136982729;2.3373674741814985;2.8140083514757843;5.953372478409127;5.571104380802032;False;True;False
2021-03-29;0.020881874532905437;0.48210526315789476;0.006984135374612635;1.0;6.123233995736766e-17;-0.3943558551133187;0.9189578116202306;0.0;1.0;1;-1;1;1;0.0028433945756780404;0.0003059841762468855;0.002761220196353436;0.0016991983269431857;0.0007436570428696413;0.0026664335358657166;0.0005259467040673212;0.0012635064482398048;0.004330708661417323;0.005682563273156445;0.009247896213183731;0.00527187173231091;2.8147681735959207;3.101718120889094;3.333123082534166;3.4800352597179223;0.0003468007629616785;0.0014713519127574866;0.001209294290403386;0.0015533310321021747;0.001387203051846714;0.0017310022503029255;0.0011229161268031442;0.00025888850535036245;0.0035547078203572047;0.00510645663839363;0.0032823702168091906;0.0031066620642043494;1.2182311106814363;1.523361385471092;1.272273237044502;1.0464473536519519;2.9542724380552587;2.8572556722114792;2.8792765122429826;2.6819825835350417;0.2385650542661089;0.13467800598840027;0.13768613837672503;0.1272186957423981;3.455689358564758;3.5240562126613137;6.5764828391947034;8.395535200236518;False;True;False
2021-03-30;0.017716535433070866;0.8049382716049382;0.014378418527788827;1.0;6.123233995736766e-17;-0.20129852008866114;0.9795299412524943;0.7818314824680298;0.6234898018587336;-1;-1;1;1;0.002123050259965338;0.0013457781636639896;0.0016105863404866582;0.0016020783719419788;0.0005632582322357019;0.001779900151942696;0.0011752927349497236;0.0021216713574366748;0.004636048526863085;0.005773822444106794;0.008052931702433291;0.008962978999783502;2.818972928924409;3.148215519634304;3.4051135895231477;3.4299019382001568;0.0015560165975103733;0.0010388710934118258;0.0012984764542936288;0.0012984764542936288;0.003284923928077455;0.002337459960176608;0.0024238227146814403;0.001644736842105263;0.006224066390041493;0.003462903644706086;0.0037222991689750693;0.004241689750692521;1.9214333482077166;1.432030142208903;1.1092370351946277;1.5575729073142461;2.5469271572537484;2.640657129107057;2.676365787157922;2.8989953691935324;-0.1843782712116457;-0.3151247544255743;-0.39238343416935834;-0.39949229124813795;2.3476858611361027;4.415847243507435;7.792338416261057;7.379315603269489;True;False;False
2021-03-31;0.021880415944540727;0.8752475247524752;0.025088914129343196;1.0;6.123233995736766e-17;-2.4492935982947064e-16;1.0;0.9749279121818236;-0.22252093395631434;-1;-1;1;-1;0.001625668449197861;0.0007708119218910585;0.00214169450869528;0.002739843315210411;0.0009411764705882353;0.0010277492291880781;0.0011993489248693567;0.0022261226936084594;0.003550802139037433;0.002012675573826653;0.003897884005825409;0.005864977096622287;2.659926951611893;3.1545795028941095;3.4517714798549943;3.6367721851478856;0.0008661008141347653;0.002000347886588972;0.0019953153465776005;0.00026019080659150045;0.0022518621167503896;0.0;0.00026025852346664354;0.00026019080659150045;0.007275246838732028;0.004609497303878936;0.0025158323935108875;0.004423243712055508;1.5885031886073395;1.4801318249300803;0.9742798836827805;1.2358140579810342;2.5749209002447615;2.61108528556448;2.9459689821934814;2.8236053468067683;-0.6975447633242707;-0.6275501158990854;-0.5906829469914763;-0.5919823590414865;2.788732394366197;2.5701160942002583;8.611984326156826;7.793241602391101;True;False;False
2021-04-01;0.01227807486631016;0.8501742160278746;0.024989225953092973;0.8660254037844387;-0.4999999999999998;0.20791169081775931;0.9781476007338057;0.43388373911755823;-0.900968867902419;-1;1;-1;-1;0.0032441200324412004;0.0005131713992473486;0.0010686500812174063;0.0014993145990404386;8.537157980108423e-05;0.003335614095107766;0.0008549200649739249;0.001113776559287183;0.005164980577965595;0.004276428327061239;0.004060870308626143;0.006554146675805346;3.0504128915916287;3.3925917151753078;3.4482272231839457;3.644369083326578;0.0013309671694764862;0.0022082854871477786;0.0010562450488513335;0.0016732716864817261;0.0032830523513753328;0.0011483084533168448;0.0013203063110641669;0.001321003963011889;0.009139307897071873;0.006801519300415158;0.002816653463603556;0.008190224570673713;1.886870896455561;1.7409361518881523;1.070145497436877;1.623725620015455;2.7973922614511895;2.7585852354513674;2.8504567751226317;2.8622307632277195;0.3806604138309902;0.3372391592068044;0.30210749545599075;0.22878144906360073;2.3243795399515736;3.2489361357338478;6.792800757814967;5.515795142001206;False;False;True
2021-04-05;0.024202842873607376;0.32098765432098764;0.010899152773981962;0.8660254037844387;-0.4999999999999998;0.8660254037844386;0.5000000000000001;0.0;1.0;1;1;1;-1;0.0005190760446405398;0.0014200877872450298;0.0011615401161540115;0.0014554794520547946;8.651267410675664e-05;0.0002581977794990963;0.00043020004302000433;0.0007705479452054794;0.005753092828099316;0.0019795163094930715;0.006496020649602065;0.0023116438356164384;2.994275271452592;3.4202355387161636;3.9050064022430626;3.894066103633082;0.00035220568812186317;0.0001757469244288225;0.0007036059806508355;0.0005307386112339673;0.0018490798626397817;0.0037785588752196836;0.0012313104661389623;0.0005307386112339673;0.004314519679492824;0.0048330404217926184;0.007739665787159191;0.0025652366209641753;1.3452785029366239;1.3522945554964427;1.8307267329814947;1.1412605078015827;2.408476085254272;2.3759640928957064;2.754117958405198;2.8433815081332767;-0.8374699306227675;-0.8337066975373431;-0.8436655109666387;-0.857228094898918;3.7434208475293382;3.382085743526855;5.113194543388149;6.010995087301419;True;False;False
