datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick
2022-06-13 09:00:00;103600;103415;103725;103175;178638;76092
2022-06-13 09:05:00;103410;103355;103540;103290;143502;59512
2022-06-13 09:10:00;103360;103250;103440;103125;168403;65564
2022-06-13 09:15:00;103250;103460;103480;103235;142371;51827
2022-06-13 09:20:00;103455;103685;103695;103450;172081;65259
2022-06-13 09:25:00;103685;103755;103795;103650;156205;58030
2022-06-13 09:30:00;103760;103840;103950;103725;188393;66817
2022-06-13 09:35:00;103835;103790;103850;103590;275512;98393
2022-06-13 09:40:00;103790;103845;103900;103725;127130;47726
2022-06-13 09:45:00;103850;103705;103885;103655;175017;62383
2022-06-13 09:50:00;103705;103845;103865;103670;119855;44728
2022-06-13 09:55:00;103845;103540;103880;103535;236327;80637
2022-06-13 10:00:00;103540;103795;103810;103490;229707;81895
2022-06-13 10:05:00;103795;103935;104045;103760;273837;94198
2022-06-13 10:10:00;103940;103940;104045;103875;222453;77996
2022-06-13 10:15:00;103935;103685;103970;103585;299682;104915
2022-06-13 10:20:00;103680;103360;103760;103325;325398;112090
2022-06-13 10:25:00;103360;103410;103515;103315;200769;69523
2022-06-13 10:30:00;103410;103700;103750;103405;356093;119450
2022-06-13 10:35:00;103695;103055;103705;103045;452935;148243
2022-06-13 10:40:00;103050;103015;103130;102945;329770;108634
2022-06-13 10:45:00;103015;102715;103055;102715;314516;100876
2022-06-13 10:50:00;102715;102555;102790;102515;285367;91586
2022-06-13 10:55:00;102550;102535;102645;102480;205750;69268
2022-06-13 11:00:00;102535;102435;102725;102410;257395;85994
2022-06-13 11:05:00;102435;102335;102595;102325;236472;80957
2022-06-13 11:10:00;102335;102145;102360;102100;263447;86857
2022-06-13 11:15:00;102145;101975;102160;101915;212423;66257
2022-06-13 11:20:00;101975;102000;102155;101925;225693;70744
2022-06-13 11:25:00;102000;101995;102030;101760;263058;85114
2022-06-13 11:30:00;101995;101830;102060;101800;215098;75040
2022-06-13 11:35:00;101825;102100;102185;101790;213078;72851
2022-06-13 11:40:00;102095;101980;102200;101845;241565;81460
2022-06-13 11:45:00;101980;102025;102050;101890;121884;42525
2022-06-13 11:50:00;102025;102245;102275;101975;166621;54548
2022-06-13 11:55:00;102250;102510;102545;102220;214075;65251
2022-06-14 09:00:00;103000;103035;103400;102960;189519;71391
2022-06-14 09:05:00;103035;103000;103110;102925;184479;73625
2022-06-14 09:10:00;102995;102940;103145;102900;162061;62873
2022-06-14 09:15:00;102935;102840;103020;102825;145887;55326
2022-06-14 09:20:00;102845;102820;102955;102770;157281;55352
2022-06-14 09:25:00;102820;102655;102835;102640;192913;69442
2022-06-14 09:30:00;102660;103070;103080;102635;303048;108314
2022-06-14 09:35:00;103070;102885;103090;102770;233315;81480
2022-06-14 09:40:00;102880;102800;103010;102785;224321;77373
2022-06-14 09:45:00;102805;102690;102820;102670;178794;60912
2022-06-14 09:50:00;102690;102775;102805;102565;242317;82582
2022-06-14 09:55:00;102775;102715;102885;102690;169756;57764
2022-06-14 10:00:00;102720;102855;103010;102700;265589;88904
2022-06-14 10:05:00;102850;103090;103095;102745;291415;99967
2022-06-14 10:10:00;103090;102905;103140;102830;276130;98633
2022-06-14 10:15:00;102900;103155;103265;102870;330554;111680
2022-06-14 10:20:00;103155;103100;103355;103080;219484;81135
2022-06-14 10:25:00;103100;102860;103130;102845;255022;88816
2022-06-14 10:30:00;102855;102805;102915;102480;481070;162859
2022-06-14 10:35:00;102805;102800;102910;102620;260591;96209
2022-06-14 10:40:00;102800;102535;102830;102485;281642;95792
2022-06-14 10:45:00;102530;102655;102860;102445;316927;108397
2022-06-14 10:50:00;102655;102850;102880;102375;346971;115839
2022-06-14 10:55:00;102850;102880;102970;102750;238604;84429
2022-06-14 11:00:00;102880;102665;103030;102655;300660;100129
2022-06-14 11:05:00;102670;102570;102805;102520;238210;79902
2022-06-14 11:10:00;102570;102405;102585;102360;224483;75644
2022-06-14 11:15:00;102405;102265;102485;102250;246593;84112
2022-06-14 11:20:00;102260;102140;102270;102060;268720;85119
2022-06-14 11:25:00;102145;101920;102145;101910;258155;80611
2022-06-14 11:30:00;101920;102005;102095;101855;263241;86039
2022-06-14 11:35:00;102010;102020;102055;101845;209868;68682
2022-06-14 11:40:00;102025;101825;102040;101700;248371;77947
2022-06-14 11:45:00;101825;102015;102095;101810;209136;65381
2022-06-14 11:50:00;102020;102005;102260;101950;250778;79297
2022-06-14 11:55:00;102005;101985;102085;101945;130963;44653
2022-06-15 09:00:00;104865;104480;104880;104350;136813;58948
2022-06-15 09:05:00;104480;104555;104660;104465;98455;38202
2022-06-15 09:10:00;104550;104555;104635;104405;143690;57227
