<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.01	09:00:00	5593.000	5611.500	5580.500	5589.000	180487	507650	500
2021.03.01	10:00:00	5589.000	5616.000	5583.500	5591.500	151097	435111	500
2021.03.01	11:00:00	5591.500	5612.500	5570.000	5600.500	183938	560704	500
2021.03.01	12:00:00	5600.500	5611.000	5563.000	5579.000	125851	435835	500
2021.03.01	13:00:00	5579.000	5588.000	5572.000	5579.000	63529	196160	500
2021.03.01	14:00:00	5579.000	5601.000	5571.000	5600.000	67783	216575	500
2021.03.01	15:00:00	5600.500	5614.500	5591.500	5609.500	77970	260030	500
2021.03.01	16:00:00	5609.500	5612.000	5598.000	5607.500	48598	159491	500
2021.03.01	17:00:00	5607.500	5647.500	5606.500	5640.500	75456	275325	500
2021.03.01	18:00:00	5640.500	5650.000	5637.500	5647.500	15094	62729	500
2021.03.02	09:00:00	5673.000	5700.000	5661.500	5675.000	214514	612972	500
2021.03.02	10:00:00	5675.000	5703.000	5674.000	5675.500	172440	513653	500
2021.03.02	11:00:00	5676.000	5718.000	5671.000	5702.000	167529	550295	500
2021.03.02	12:00:00	5702.000	5740.500	5693.000	5706.000	182358	638680	500
2021.03.02	13:00:00	5706.000	5730.000	5702.500	5717.500	100653	365411	500
2021.03.02	14:00:00	5718.000	5720.500	5687.500	5705.000	92240	318385	500
2021.03.02	15:00:00	5704.500	5705.000	5648.500	5648.500	72899	239941	500
2021.03.02	16:00:00	5675.000	5696.000	5651.000	5673.000	77173	265862	500
2021.03.02	17:00:00	5673.500	5679.000	5658.000	5671.000	49153	152384	500
2021.03.02	18:00:00	5671.500	5694.500	5669.500	5686.000	12696	50001	500
2021.03.03	09:00:00	5693.500	5721.500	5678.000	5719.000	175637	471654	500
2021.03.03	10:00:00	5719.000	5729.000	5707.000	5724.500	147555	431072	500
2021.03.03	11:00:00	5724.500	5757.000	5724.000	5750.500	171518	539849	500
2021.03.03	12:00:00	5750.500	5768.000	5730.000	5765.500	145326	545275	500
2021.03.03	13:00:00	5766.000	5779.500	5756.500	5768.500	86470	305594	500
2021.03.03	14:00:00	5768.500	5774.000	5754.500	5768.500	72132	239832	500
2021.03.03	15:00:00	5768.500	5771.000	5731.000	5761.000	129585	480880	500
2021.03.03	16:00:00	5761.000	5769.000	5643.500	5668.500	143753	494031	500
2021.03.03	17:00:00	5668.500	5683.500	5586.500	5630.500	124211	371152	500
2021.03.03	18:00:00	5629.500	5646.500	5608.000	5622.000	21126	64146	500
2021.03.04	09:00:00	5591.000	5634.000	5571.500	5629.000	211470	599860	500
2021.03.04	10:00:00	5629.000	5631.000	5591.500	5607.000	191016	542630	500
2021.03.04	11:00:00	5606.500	5631.500	5587.500	5608.000	177870	534698	500
2021.03.04	12:00:00	5607.500	5645.000	5551.500	5561.000	167810	574712	500
2021.03.04	13:00:00	5561.000	5592.000	5550.000	5574.500	131611	469974	500
2021.03.04	14:00:00	5574.500	5631.000	5563.500	5622.500	141900	463924	500
2021.03.04	15:00:00	5622.500	5672.500	5609.000	5670.000	140864	467923	500
2021.03.04	16:00:00	5669.500	5690.000	5655.000	5667.000	101274	343159	500
2021.03.04	17:00:00	5667.000	5687.000	5663.000	5674.500	59681	194623	500
2021.03.04	18:00:00	5674.500	5680.000	5662.500	5675.000	14654	43240	500
2021.03.05	09:00:00	5683.000	5713.500	5673.000	5704.500	172044	446807	500
2021.03.05	10:00:00	5704.500	5727.000	5685.500	5701.000	198563	517675	500
