<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.22	14:25:00	5496.000	5498.000	5490.000	5493.000	10953	35459	500
2022.07.22	14:30:00	5492.500	5496.500	5490.000	5495.500	7924	27346	500
2022.07.22	14:35:00	5496.000	5497.000	5491.500	5495.000	5746	18530	500
2022.07.22	14:40:00	5495.500	5498.000	5492.000	5493.000	6167	19860	500
2022.07.22	14:45:00	5493.500	5496.000	5491.500	5494.500	5372	21889	500
2022.07.22	14:50:00	5494.000	5505.500	5493.500	5501.000	14593	53359	500
2022.07.22	14:55:00	5501.000	5501.500	5497.000	5498.500	4740	17015	500
2022.07.22	15:00:00	5498.500	5504.500	5498.000	5503.000	6602	24205	500
2022.07.22	15:05:00	5503.500	5507.500	5503.000	5507.000	6998	25042	500
2022.07.22	15:10:00	5507.000	5511.000	5505.500	5510.000	8579	30943	500
2022.07.22	15:15:00	5510.500	5512.000	5506.000	5507.500	7316	23928	500
2022.07.22	15:20:00	5507.500	5510.000	5505.000	5507.000	4760	15228	500
2022.07.22	15:25:00	5506.500	5509.500	5504.000	5505.000	5337	17274	500
2022.07.22	15:30:00	5505.500	5510.000	5504.500	5506.000	5916	18364	500
2022.07.22	15:35:00	5506.000	5508.000	5504.500	5505.500	3479	11107	500
2022.07.22	15:40:00	5506.000	5509.500	5505.000	5508.500	3786	12128	500
2022.07.22	15:45:00	5509.000	5509.500	5505.000	5508.500	4389	13337	500
2022.07.22	15:50:00	5508.500	5509.500	5506.500	5508.500	3502	10023	500
2022.07.22	15:55:00	5508.000	5512.000	5507.000	5512.000	5505	18842	500
2022.07.22	16:00:00	5512.000	5515.000	5508.000	5510.000	10964	40123	500
2022.07.22	16:05:00	5510.000	5512.000	5509.500	5510.000	2587	8655	500
2022.07.22	16:10:00	5510.500	5512.500	5509.500	5511.000	3277	12284	500
2022.07.22	16:15:00	5511.000	5512.500	5508.500	5509.500	4380	15801	500
2022.07.22	16:20:00	5509.500	5510.000	5507.000	5508.000	3482	11860	500
2022.07.22	16:25:00	5508.000	5511.000	5507.500	5509.500	3865	13643	500
2022.07.22	16:30:00	5509.500	5511.000	5508.500	5511.000	2509	9282	500
2022.07.22	16:35:00	5511.000	5512.000	5509.500	5510.500	2930	11596	500
2022.07.22	16:40:00	5511.000	5511.000	5507.000	5510.000	3296	11643	500
2022.07.22	16:45:00	5510.000	5511.500	5509.000	5509.500	2287	8889	500
2022.07.22	16:50:00	5509.500	5511.000	5507.000	5509.000	3579	15192	500
2022.07.22	16:55:00	5508.500	5510.000	5507.000	5507.500	2536	10961	500
2022.07.22	17:00:00	5507.500	5511.000	5507.500	5510.500	2977	12115	500
2022.07.22	17:05:00	5510.000	5510.500	5507.500	5509.500	1704	6978	500
2022.07.22	17:10:00	5510.000	5510.000	5508.500	5509.000	972	3774	500
2022.07.22	17:15:00	5509.000	5509.500	5508.500	5509.500	968	4823	500
2022.07.22	17:20:00	5509.500	5510.000	5508.500	5509.500	1092	4811	500
2022.07.22	17:25:00	5509.000	5511.000	5508.500	5509.500	2491	10150	500
2022.07.22	17:30:00	5509.500	5510.500	5507.500	5508.000	2571	9310	500
2022.07.22	17:35:00	5508.000	5508.500	5505.000	5506.000	4098	15640	500
2022.07.22	17:40:00	5506.000	5508.500	5505.500	5508.500	1948	5261	500
2022.07.22	17:45:00	5508.500	5509.000	5506.500	5506.500	2301	9017	500
2022.07.22	17:50:00	5506.500	5508.000	5505.500	5507.000	1534	5923	500
2022.07.22	17:55:00	5507.500	5509.500	5505.500	5509.000	1528	7511	500
2022.07.25	09:00:00	5481.500	5487.000	5478.000	5481.000	15615	44713	500
2022.07.25	09:05:00	5480.500	5481.500	5474.500	5476.500	12053	34630	500
2022.07.25	09:10:00	5476.000	5478.000	5472.000	5476.500	12482	37268	500
2022.07.25	09:15:00	5476.000	5477.000	5472.500	5473.000	8848	29311	500
2022.07.25	09:20:00	5472.500	5473.500	5465.500	5467.000	16969	51976	500
2022.07.25	09:25:00	5467.000	5469.500	5462.500	5462.500	13211	42955	500
2022.07.25	09:30:00	5462.500	5466.000	5456.500	5457.000	20146	61327	500
2022.07.25	09:35:00	5457.500	5462.500	5456.000	5459.000	16235	49864	500
2022.07.25	09:40:00	5458.500	5464.500	5458.000	5462.000	11908	34550	500
2022.07.25	09:45:00	5462.500	5467.000	5459.000	5462.000	16741	52766	500
2022.07.25	09:50:00	5462.000	5462.500	5457.000	5459.500	17618	53955	500
2022.07.25	09:55:00	5460.000	5460.000	5452.500	5453.500	17435	51385	500
2022.07.25	10:00:00	5454.000	5454.000	5443.000	5446.000	35073	108250	500
2022.07.25	10:05:00	5446.500	5448.000	5438.000	5441.500	21024	67138	500
2022.07.25	10:10:00	5441.500	5444.000	5435.000	5442.500	20943	69815	500
2022.07.25	10:15:00	5442.000	5449.000	5439.500	5448.000	20106	73895	500
2022.07.25	10:20:00	5447.500	5451.000	5443.000	5443.500	13788	39999	500
2022.07.25	10:25:00	5443.500	5444.000	5437.500	5440.000	18176	45920	500
2022.07.25	10:30:00	5439.500	5445.500	5436.000	5444.000	17582	57464	500
2022.07.25	10:35:00	5444.500	5446.000	5440.500	5443.000	12675	39390	500
2022.07.25	10:40:00	5443.000	5444.000	5438.000	5440.000	12838	40709	500
2022.07.25	10:45:00	5440.000	5440.000	5427.000	5429.500	23810	68552	500
2022.07.25	10:50:00	5429.500	5430.000	5417.000	5419.500	28656	87486	500
2022.07.25	10:55:00	5419.500	5421.000	5411.000	5414.000	21923	79130	500
2022.07.25	11:00:00	5414.000	5417.000	5409.000	5411.000	17583	67420	500
2022.07.25	11:05:00	5411.500	5415.000	5410.000	5412.000	10952	39992	500
2022.07.25	11:10:00	5412.000	5416.000	5406.000	5412.000	19639	60605	500
2022.07.25	11:15:00	5412.000	5416.000	5410.500	5412.000	14356	50880	500
2022.07.25	11:20:00	5412.000	5416.500	5409.500	5414.500	11895	38687	500
2022.07.25	11:25:00	5414.000	5415.000	5406.500	5413.000	17891	63708	500
2022.07.25	11:30:00	5413.000	5418.000	5408.500	5418.000	18052	59929	500
2022.07.25	11:35:00	5418.000	5425.500	5416.000	5423.000	21558	76743	500
2022.07.25	11:40:00	5423.500	5425.000	5419.000	5422.500	16300	59350	500
2022.07.25	11:45:00	5422.500	5427.000	5420.000	5423.500	10642	40925	500
2022.07.25	11:50:00	5424.000	5424.000	5418.500	5421.000	9670	33262	500
2022.07.25	11:55:00	5421.500	5424.500	5420.500	5421.000	6663	29649	500
2022.07.25	12:00:00	5421.000	5426.000	5420.500	5425.000	9677	46047	500
2022.07.25	12:05:00	5425.000	5427.000	5422.000	5422.500	7359	34731	500
2022.07.25	12:10:00	5422.500	5425.000	5419.500	5422.500	7068	26371	500
2022.07.25	12:15:00	5422.500	5424.500	5422.000	5424.000	2832	12972	500
2022.07.25	12:20:00	5423.500	5424.000	5414.500	5417.000	10796	34087	500
2022.07.25	12:25:00	5417.000	5420.500	5414.500	5415.500	7935	25356	500
2022.07.25	12:30:00	5415.500	5416.500	5412.500	5415.500	7641	22981	500
2022.07.25	12:35:00	5416.000	5420.000	5413.500	5418.500	6151	17691	500
2022.07.25	12:40:00	5418.000	5420.500	5411.000	5413.500	8809	31651	500
2022.07.25	12:45:00	5413.500	5413.500	5409.500	5412.500	7426	28385	500
2022.07.25	12:50:00	5412.500	5415.500	5411.000	5412.000	6650	25858	500
2022.07.25	12:55:00	5412.000	5415.500	5408.000	5408.500	8807	31519	500
2022.07.25	13:00:00	5409.000	5412.000	5406.000	5406.500	8791	35637	500
2022.07.25	13:05:00	5406.000	5410.000	5406.000	5408.500	6096	23309	500
2022.07.25	13:10:00	5409.000	5411.500	5405.000	5411.500	8263	28454	500
2022.07.25	13:15:00	5411.500	5415.500	5410.500	5414.000	8986	29852	500
2022.07.25	13:20:00	5414.000	5415.000	5412.000	5414.000	3479	12698	500
2022.07.25	13:25:00	5413.500	5414.500	5411.500	5411.500	2961	11513	500
2022.07.25	13:30:00	5411.500	5413.000	5406.500	5408.000	6992	22752	500
2022.07.25	13:35:00	5408.000	5411.000	5407.500	5409.000	3486	10835	500
2022.07.25	13:40:00	5409.000	5409.000	5406.000	5407.000	4843	16026	500
2022.07.25	13:45:00	5406.500	5412.500	5406.500	5409.500	6392	21833	500
2022.07.25	13:50:00	5409.000	5412.500	5408.000	5411.000	4334	16225	500
2022.07.25	13:55:00	5410.500	5412.000	5408.500	5408.500	3378	11460	500
2022.07.25	14:00:00	5408.500	5410.000	5406.500	5408.000	4501	16295	500
2022.07.25	14:05:00	5408.500	5410.000	5406.500	5406.500	3855	16846	500
2022.07.25	14:10:00	5406.500	5407.500	5400.500	5404.500	13143	39711	500
2022.07.25	14:15:00	5404.500	5405.500	5403.000	5404.000	3602	12272	500
2022.07.25	14:20:00	5403.500	5404.500	5397.000	5402.000	15235	54981	500
2022.07.25	14:25:00	5402.000	5403.000	5397.500	5398.500	7182	26236	500
2022.07.25	14:30:00	5398.000	5402.000	5397.500	5400.500	5566	22494	500
2022.07.25	14:35:00	5400.000	5403.000	5399.000	5402.500	4290	15920	500
2022.07.25	14:40:00	5402.500	5402.500	5400.000	5400.500	3501	13530	500
2022.07.25	14:45:00	5400.500	5403.000	5400.000	5402.500	3583	15022	500
2022.07.25	14:50:00	5402.500	5404.500	5402.000	5403.500	5669	19714	500
2022.07.25	14:55:00	5403.500	5404.500	5400.000	5402.000	4009	11579	500
