<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.06	10:35:00	137410	137490	137370	137455	19826	57604	5
2025.06.06	10:36:00	137455	137535	137415	137425	20515	62191	5
2025.06.06	10:37:00	137430	137450	137355	137365	16531	53938	5
2025.06.06	10:38:00	137370	137420	137280	137295	17730	54008	5
2025.06.06	10:39:00	137295	137420	137280	137375	13376	41003	5
2025.06.06	10:40:00	137380	137435	137350	137355	13228	39972	5
2025.06.06	10:41:00	137360	137455	137325	137425	15655	48384	5
2025.06.06	10:42:00	137420	137455	137230	137300	24338	72839	5
2025.06.06	10:43:00	137300	137360	137275	137290	9308	29074	5
2025.06.06	10:44:00	137295	137340	137255	137310	7368	21507	5
2025.06.06	10:45:00	137315	137335	137185	137250	14047	44606	5
2025.06.06	10:46:00	137255	137275	137170	137180	9832	29878	5
2025.06.06	10:47:00	137185	137195	137105	137150	14470	43873	5
2025.06.06	10:48:00	137150	137185	137105	137175	8927	26511	5
2025.06.06	10:49:00	137175	137330	137160	137310	17547	54356	5
2025.06.06	10:50:00	137310	137370	137235	137285	17972	54057	5
2025.06.06	10:51:00	137285	137290	137210	137235	8497	26306	5
2025.06.06	10:52:00	137240	137270	137160	137235	13938	42649	5
2025.06.06	10:53:00	137230	137305	137225	137260	8125	23060	5
2025.06.06	10:54:00	137265	137290	137185	137275	8755	24804	5
2025.06.06	10:55:00	137270	137350	137240	137315	11597	33445	5
2025.06.06	10:56:00	137315	137335	137280	137295	6482	18378	5
2025.06.06	10:57:00	137295	137300	137240	137265	6168	17621	5
2025.06.06	10:58:00	137265	137330	137235	137305	6959	20275	5
2025.06.06	10:59:00	137310	137320	137265	137300	4165	12406	5
2025.06.06	11:00:00	137300	137450	137290	137390	21359	60520	5
2025.06.06	11:01:00	137390	137390	137155	137170	24816	73223	5
2025.06.06	11:02:00	137170	137190	137105	137120	13662	42293	5
2025.06.06	11:03:00	137115	137230	137100	137185	13952	39400	5
2025.06.06	11:04:00	137185	137320	137185	137285	16060	45231	5
2025.06.06	11:05:00	137290	137320	137205	137210	10268	30504	5
2025.06.06	11:06:00	137205	137260	137195	137230	6246	17959	5
2025.06.06	11:07:00	137230	137365	137200	137350	14505	42030	5
2025.06.06	11:08:00	137345	137355	137240	137260	9071	26756	5
2025.06.06	11:09:00	137265	137365	137250	137320	8708	25485	5
2025.06.06	11:10:00	137320	137320	137160	137180	14919	42503	5
2025.06.06	11:11:00	137175	137215	137120	137150	11565	36599	5
2025.06.06	11:12:00	137150	137185	137075	137090	12675	37103	5
2025.06.06	11:13:00	137085	137095	136985	137030	20733	60087	5
2025.06.06	11:14:00	137030	137065	136950	137000	14257	46638	5
2025.06.06	11:15:00	136995	137085	136940	136960	21915	64024	5
2025.06.06	11:16:00	136960	136970	136820	136910	23075	69666	5
2025.06.06	11:17:00	136910	136920	136845	136885	9478	29236	5
2025.06.06	11:18:00	136880	136930	136840	136885	9346	26871	5
2025.06.06	11:19:00	136880	136885	136730	136770	21235	61490	5
2025.06.06	11:20:00	136765	136800	136700	136780	16900	51154	5
2025.06.06	11:21:00	136785	136840	136760	136820	10264	28063	5
2025.06.06	11:22:00	136815	136860	136760	136795	16696	46800	5
2025.06.06	11:23:00	136800	136835	136765	136810	8017	23008	5
2025.06.06	11:24:00	136815	136870	136785	136825	8532	24138	5
2025.06.06	11:25:00	136820	136820	136740	136760	10057	29141	5
2025.06.06	11:26:00	136765	136780	136665	136735	18145	53653	5
2025.06.06	11:27:00	136735	136780	136710	136740	10179	30214	5
2025.06.06	11:28:00	136740	136835	136690	136800	12962	36267	5
2025.06.06	11:29:00	136800	136810	136705	136795	11326	34860	5
2025.06.06	11:30:00	136800	136810	136635	136745	36612	108743	5
2025.06.06	11:31:00	136740	136745	136590	136620	23501	72244	5
2025.06.06	11:32:00	136615	136665	136585	136620	13018	39868	5
2025.06.06	11:33:00	136620	136635	136510	136600	23703	69637	5
2025.06.06	11:34:00	136600	136605	136515	136560	8613	24799	5
2025.06.06	11:35:00	136555	136630	136455	136620	32316	96687	5
2025.06.06	11:36:00	136625	136630	136565	136590	9741	28988	5
2025.06.06	11:37:00	136590	136590	136480	136520	11497	33217	5
2025.06.06	11:38:00	136520	136535	136425	136485	13801	39008	5
2025.06.06	11:39:00	136485	136565	136485	136555	7627	22255	5
2025.06.06	11:40:00	136555	136585	136510	136525	6852	18432	5
2025.06.06	11:41:00	136520	136535	136435	136455	9174	26318	5
2025.06.06	11:42:00	136455	136490	136410	136490	11865	33916	5
2025.06.06	11:43:00	136485	136490	136420	136420	6891	20024	5
2025.06.06	11:44:00	136420	136445	136375	136415	11801	33874	5
2025.06.06	11:45:00	136420	136505	136375	136455	14082	41310	5
2025.06.06	11:46:00	136460	136500	136410	136415	7685	23259	5
2025.06.06	11:47:00	136415	136425	136370	136400	8595	25504	5
2025.06.06	11:48:00	136400	136430	136350	136405	9077	25623	5
2025.06.06	11:49:00	136405	136545	136390	136535	14758	42086	5
2025.06.06	11:50:00	136535	136540	136485	136505	6667	20969	5
2025.06.06	11:51:00	136505	136565	136470	136555	8724	26129	5
2025.06.06	11:52:00	136555	136575	136485	136565	7914	23263	5
2025.06.06	11:53:00	136565	136580	136510	136525	6351	19302	5
2025.06.06	11:54:00	136525	136545	136495	136535	3807	10363	5
2025.06.06	11:55:00	136540	136540	136410	136425	12347	33721	5
2025.06.06	11:56:00	136425	136480	136400	136445	8204	23030	5
2025.06.06	11:57:00	136440	136450	136365	136400	9334	26805	5
2025.06.06	11:58:00	136405	136425	136360	136400	6509	17775	5
2025.06.06	11:59:00	136400	136405	136330	136390	9982	29810	5
2025.06.06	12:00:00	136395	136425	136375	136385	9594	25222	5
2025.06.06	12:01:00	136385	136390	136325	136350	9954	29566	5
2025.06.06	12:02:00	136350	136460	136335	136455	9493	27393	5
2025.06.06	12:03:00	136450	136520	136425	136480	13926	40831	5
2025.06.06	12:04:00	136480	136515	136470	136480	4382	14145	5
2025.06.06	12:05:00	136480	136500	136420	136460	8226	23528	5
2025.06.06	12:06:00	136460	136540	136430	136510	11311	32886	5
2025.06.06	12:07:00	136510	136515	136470	136505	4178	11635	5
2025.06.06	12:08:00	136505	136625	136500	136580	17850	52686	5
2025.06.06	12:09:00	136585	136625	136570	136595	5228	14318	5
2025.06.06	12:10:00	136590	136640	136575	136590	7517	21572	5
2025.06.06	12:11:00	136595	136680	136580	136655	10934	28458	5
2025.06.06	12:12:00	136660	136665	136600	136600	6266	17385	5
2025.06.06	12:13:00	136600	136685	136560	136660	11286	32228	5
2025.06.06	12:14:00	136660	136680	136650	136650	4612	13975	5
2025.06.06	12:15:00	136650	136660	136465	136540	26496	76389	5
2025.06.06	12:16:00	136540	136550	136460	136480	8725	27831	5
2025.06.06	12:17:00	136480	136590	136470	136545	8564	26657	5
2025.06.06	12:18:00	136545	136550	136480	136510	6001	17372	5
2025.06.06	12:19:00	136510	136535	136475	136500	6347	15436	5
2025.06.06	12:20:00	136495	136525	136430	136450	13041	35142	5
