datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick
2021-08-12 09:00:00;122390;121995;122455;121970;178229;56627
2021-08-12 09:05:00;121995;121820;122000;121735;200026;57940
2021-08-12 09:10:00;121825;122050;122075;121805;164065;45096
2021-08-12 09:15:00;122050;121955;122100;121890;176767;49464
2021-08-12 09:20:00;121955;121870;121995;121845;148872;42776
2021-08-12 09:25:00;121870;121905;121945;121775;124289;37266
2021-08-12 09:30:00;121905;121720;121915;121640;273768;77445
2021-08-12 09:35:00;121715;121815;121860;121655;155412;42593
2021-08-12 09:40:00;121815;121810;121860;121730;141791;39837
2021-08-12 09:45:00;121810;121690;121855;121610;201958;61981
2021-08-12 09:50:00;121690;121735;121780;121520;246768;72646
2021-08-12 09:55:00;121740;121740;121785;121670;135968;38186
2021-08-12 10:00:00;121745;121355;121745;121345;355758;94545
2021-08-12 10:05:00;121350;121345;121465;121230;278659;75237
2021-08-12 10:10:00;121350;121355;121495;121250;294159;78529
2021-08-12 10:15:00;121355;121580;121590;121290;244552;67758
2021-08-12 10:20:00;121580;121625;121720;121490;241049;66422
2021-08-12 10:25:00;121620;121605;121665;121520;206439;54289
2021-08-12 10:30:00;121605;121420;121645;121225;428405;109971
2021-08-12 10:35:00;121420;121140;121450;121065;395712;100553
2021-08-12 10:40:00;121140;121390;121395;121100;246294;63227
2021-08-12 10:45:00;121390;121260;121395;121160;211640;53012
2021-08-12 10:50:00;121265;121100;121330;121065;243061;59022
2021-08-12 10:55:00;121095;121400;121445;121065;284741;71714
2021-08-12 11:00:00;121405;121390;121470;121235;239554;66848
2021-08-12 11:05:00;121390;121455;121460;121290;169114;46693
2021-08-12 11:10:00;121455;121485;121495;121330;204745;55862
2021-08-12 11:15:00;121485;121315;121520;121275;234057;60757
2021-08-12 11:20:00;121320;120990;121340;120975;350010;89258
2021-08-12 11:25:00;120990;120910;121070;120905;281611;71409
2021-08-12 11:30:00;120910;120585;120950;120550;479626;110805
2021-08-12 11:35:00;120585;120735;120785;120530;279885;66080
2021-08-12 11:40:00;120735;120745;120755;120645;130900;33856
2021-08-12 11:45:00;120745;120955;120960;120660;204142;52801
2021-08-12 11:50:00;120955;120925;121010;120865;182388;47113
2021-08-12 11:55:00;120925;121015;121090;120910;195195;48983
2021-08-12 12:00:00;121020;121000;121095;120955;165184;39903
2021-08-12 12:05:00;121000;121105;121130;120995;165714;42576
2021-08-12 12:10:00;121110;121225;121245;121070;183263;44548
2021-08-12 12:15:00;121230;121360;121385;121170;177528;43473
2021-08-12 12:20:00;121360;121375;121420;121300;158876;36362
2021-08-12 12:25:00;121375;121345;121440;121265;210310;50089
