modelo;n_sementes;acc_media;acc_dp;f1_media;f1_dp;ganho_medio;ganho_dp;base_acc;segundos;familia
Baseline (majoritária);10;0.35185185185185175;5.551115123125783e-17;0.17325059535635529;2.7755575615628914e-17;0.0;0.0;0.3518518518518518;0.559983491897583;tabular
Baseline (estratificado);10;0.3401234567901234;0.013080012407664876;0.3371385717090981;0.013245381525275398;-0.011728395061728347;0.013080012407664876;0.3518518518518518;0.5900492668151855;tabular
Regressão logística;10;0.3135802469135802;0.0;0.29725657482222;0.0;-0.038271604938271586;0.0;0.3518518518518518;1.1003119945526123;tabular
SVM (RBF);10;0.34691358024691354;0.0;0.31278524077563186;0.0;-0.00493827160493826;0.0;0.3518518518518518;2.249437093734741;tabular
Random Forest;10;0.34790123456790123;0.00643398233125699;0.2874503290727045;0.004848127298847053;-0.003950617283950575;0.00643398233125699;0.3518518518518518;28.510998249053955;tabular
Gradient Boosting;10;0.35814814814814816;0.010291439775983903;0.34782726408234527;0.009567135871222546;0.006296296296296328;0.010291439775983903;0.3518518518518518;78.0362811088562;tabular
XGBoost;10;0.3603703703703704;0.00608455384214894;0.35057264478164774;0.006555850891099397;0.008518518518518564;0.00608455384214894;0.3518518518518518;16.314597845077515;tabular
MLP;3;0.34161490683229817;0.0036570438369887656;0.29998454831998805;0.009079615829999901;-0.012422360248447117;0.0036570438369887656;0.3540372670807453;100.07341527938843;sequencial
CNN 1D;3;0.3548654244306418;0.0030986810656512846;0.27426552520228303;0.007611443127111576;0.0008281573498964967;0.0030986810656512846;0.3540372670807453;114.17940354347229;sequencial
LSTM;3;0.3490683229813665;0.005270361102011547;0.3008008927298845;0.014081144031179781;-0.004968944099378814;0.005270361102011547;0.3540372670807453;133.09168195724487;sequencial
TCN;3;0.3341614906832298;0.008302251617293343;0.2932003912092002;0.024865987019014817;-0.019875776397515477;0.008302251617293343;0.3540372670807453;187.86290431022644;sequencial
