datetime;retorno_total_em_pontos;pavio_contra_em_pontos;label
2022-06-13;-1090.0;445.0;Lateral
2022-06-14;-1015.0;400.0;Lateral
2022-06-15;510.0;515.0;Lateral
2022-06-17;-2195.0;310.0;Lateral
2022-06-20;360.0;1280.0;Lateral
2022-06-21;-610.0;380.0;Lateral
2022-06-22;945.0;580.0;Lateral
2022-06-23;10.0;805.0;Lateral
2022-06-24;505.0;440.0;Lateral
2022-06-27;1625.0;425.0;Lateral
2022-06-28;-385.0;485.0;Lateral
2022-06-29;-700.0;1070.0;Lateral
2022-06-30;-310.0;260.0;Lateral
2022-07-01;20.0;675.0;Lateral
2022-07-04;290.0;680.0;Lateral
2022-07-05;-845.0;40.0;Venda
2022-07-06;240.0;340.0;Lateral
2022-07-07;1070.0;65.0;Compra
2022-07-08;65.0;590.0;Lateral
2022-07-11;-1030.0;190.0;Venda
2022-07-12;450.0;455.0;Lateral
2022-07-13;135.0;1350.0;Lateral
2022-07-14;-975.0;285.0;Venda
2022-07-15;140.0;1000.0;Lateral
2022-07-18;550.0;480.0;Lateral
2022-07-19;65.0;275.0;Lateral
2022-07-20;-75.0;140.0;Lateral
2022-07-21;-125.0;75.0;Lateral
2022-07-22;360.0;410.0;Lateral
2022-07-25;380.0;115.0;Lateral
2022-07-26;-60.0;485.0;Lateral
2022-07-27;-5.0;220.0;Lateral
2022-07-28;-285.0;575.0;Lateral
2022-07-29;-145.0;45.0;Lateral
2022-08-01;-70.0;75.0;Lateral
2022-08-02;1350.0;155.0;Compra
2022-08-03;-760.0;170.0;Venda
2022-08-04;1370.0;95.0;Compra
2022-08-05;780.0;865.0;Lateral
2022-08-08;1090.0;95.0;Compra
2022-08-09;-700.0;490.0;Lateral
2022-08-10;1450.0;75.0;Compra
2022-08-11;-115.0;965.0;Lateral
2022-08-12;690.0;5.0;Super Compra
2022-08-15;875.0;685.0;Lateral
2022-08-16;-165.0;635.0;Lateral
2022-08-17;495.0;655.0;Lateral
2022-08-18;130.0;225.0;Lateral
2022-08-19;-1350.0;290.0;Venda
2022-08-22;50.0;435.0;Lateral
2022-08-23;960.0;600.0;Lateral
2022-08-24;690.0;500.0;Lateral
2022-08-25;-500.0;290.0;Lateral
2022-08-26;-245.0;995.0;Lateral
2022-08-29;865.0;290.0;Compra
2022-08-30;-1240.0;145.0;Venda
2022-08-31;530.0;435.0;Lateral
2022-09-01;-1405.0;255.0;Venda
2022-09-02;1960.0;255.0;Compra
2022-09-05;1450.0;40.0;Compra
2022-09-06;-2095.0;25.0;Venda
2022-09-08;-515.0;310.0;Lateral
2022-09-09;1305.0;115.0;Compra
2022-09-12;530.0;355.0;Lateral
2022-09-13;-2155.0;215.0;Venda
2022-09-14;480.0;545.0;Lateral
2022-09-15;-1000.0;690.0;Lateral
2022-09-16;-240.0;305.0;Lateral
2022-09-19;1970.0;185.0;Compra
2022-09-20;-45.0;535.0;Lateral
2022-09-21;-1085.0;320.0;Lateral
2022-09-22;-565.0;955.0;Lateral
2022-09-23;-1520.0;170.0;Venda
2022-09-26;-650.0;290.0;Lateral
2022-09-27;-125.0;1235.0;Lateral
2022-09-28;925.0;105.0;Compra
2022-09-29;-670.0;325.0;Lateral
2022-09-30;1005.0;1000.0;Lateral
2022-10-03;1390.0;750.0;Lateral
2022-10-04;-685.0;780.0;Lateral
2022-10-05;695.0;205.0;Lateral
2022-10-06;790.0;140.0;Compra
2022-10-07;65.0;565.0;Lateral
2022-10-10;-950.0;440.0;Lateral
2022-10-11;-195.0;600.0;Lateral
2022-10-13;-1995.0;530.0;Lateral
2022-10-14;-670.0;405.0;Lateral
2022-10-17;735.0;575.0;Lateral
2022-10-18;-15.0;780.0;Lateral
2022-10-19;335.0;360.0;Lateral
2022-10-20;555.0;100.0;Lateral
2022-10-21;1750.0;105.0;Compra
2022-10-24;-2460.0;10.0;Venda
2022-10-25;-540.0;655.0;Lateral
2022-10-26;-1345.0;435.0;Lateral
2022-10-27;325.0;600.0;Lateral
2022-10-28;995.0;50.0;Compra
2022-10-31;4295.0;500.0;Lateral
2022-11-01;-25.0;1160.0;Lateral
2022-11-03;2090.0;375.0;Lateral
2022-11-04;1155.0;595.0;Lateral
2022-11-07;-2590.0;235.0;Venda
2022-11-08;0.0;1520.0;Lateral
2022-11-09;-10.0;325.0;Lateral
2022-11-10;-2645.0;0.0;Venda
2022-11-11;-155.0;570.0;Lateral
2022-11-14;55.0;395.0;Lateral
2022-11-16;-1175.0;665.0;Lateral
2022-11-17;-150.0;440.0;Lateral
2022-11-18;-790.0;1075.0;Lateral
2022-11-21;120.0;30.0;Lateral
2022-11-22;-240.0;925.0;Lateral
2022-11-23;-705.0;210.0;Venda
2022-11-24;2195.0;325.0;Lateral
2022-11-25;-1200.0;755.0;Lateral
2022-11-28;1180.0;635.0;Lateral
2022-11-29;1530.0;395.0;Lateral
2022-11-30;470.0;680.0;Lateral
2022-12-01;-160.0;190.0;Lateral
2022-12-02;2575.0;1275.0;Lateral
2022-12-05;-2205.0;25.0;Venda
2022-12-06;875.0;95.0;Compra
2022-12-07;300.0;535.0;Lateral
2022-12-08;-205.0;305.0;Lateral
2022-12-09;230.0;745.0;Lateral
2022-12-12;-3630.0;0.0;Venda
2022-12-13;875.0;170.0;Compra
2022-12-14;-1170.0;330.0;Lateral
2022-12-15;1955.0;330.0;Lateral
2022-12-16;80.0;620.0;Lateral
2022-12-19;345.0;805.0;Lateral
2022-12-20;2560.0;545.0;Lateral
2022-12-21;-1040.0;100.0;Venda
2022-12-22;75.0;195.0;Lateral
2022-12-23;1530.0;275.0;Compra
2022-12-26;-775.0;535.0;Lateral
2022-12-27;-1655.0;195.0;Venda
2022-12-28;1120.0;180.0;Compra
2022-12-29;-85.0;770.0;Lateral
2023-01-02;-2630.0;185.0;Venda
2023-01-03;-645.0;95.0;Lateral
2023-01-04;185.0;285.0;Lateral
2023-01-05;295.0;630.0;Lateral
2023-01-06;300.0;205.0;Lateral
2023-01-09;535.0;535.0;Lateral
2023-01-10;865.0;375.0;Lateral
2023-01-11;650.0;195.0;Lateral
2023-01-12;-1070.0;440.0;Lateral
2023-01-13;-470.0;265.0;Lateral
2023-01-16;-635.0;540.0;Lateral
2023-01-17;1690.0;60.0;Compra
