datetime;retorno_total;pavio_contra;label
2022-06-13;-25.0;190.0;Lateral
2022-06-14;-895.0;150.0;Venda
2022-06-15;-565.0;45.0;Venda
2022-06-17;-1300.0;25.0;Venda
2022-06-20;1050.0;310.0;Lateral
2022-06-21;-355.0;130.0;Venda
2022-06-22;905.0;175.0;Compra
2022-06-23;380.0;435.0;Lateral
2022-06-24;360.0;5.0;Compra
2022-06-27;680.0;10.0;Compra
2022-06-28;-670.0;150.0;Venda
2022-06-29;-735.0;150.0;Venda
2022-06-30;55.0;585.0;Lateral
2022-07-01;-180.0;300.0;Lateral
2022-07-04;715.0;60.0;Compra
2022-07-05;40.0;135.0;Lateral
2022-07-06;-620.0;160.0;Venda
2022-07-07;-180.0;210.0;Venda
2022-07-08;385.0;270.0;Lateral
2022-07-11;-345.0;35.0;Venda
2022-07-12;770.0;85.0;Compra
2022-07-13;920.0;460.0;Lateral
2022-07-14;-85.0;5.0;Venda
2022-07-15;995.0;5.0;Compra
2022-07-18;125.0;310.0;Lateral
2022-07-19;50.0;290.0;Lateral
2022-07-20;525.0;220.0;Compra
2022-07-21;-35.0;45.0;Lateral
2022-07-22;570.0;200.0;Compra
2022-07-25;-120.0;185.0;Venda
2022-07-26;-325.0;10.0;Venda
2022-07-27;250.0;155.0;Compra
2022-07-28;-25.0;155.0;Lateral
2022-07-29;400.0;80.0;Compra
2022-08-01;535.0;405.0;Lateral
2022-08-02;935.0;500.0;Lateral
2022-08-03;-510.0;5.0;Venda
2022-08-04;55.0;190.0;Compra
2022-08-05;585.0;335.0;Lateral
2022-08-08;-90.0;25.0;Venda
2022-08-09;-380.0;185.0;Venda
2022-08-10;335.0;410.0;Lateral
2022-08-11;-575.0;20.0;Venda
2022-08-12;-245.0;145.0;Venda
2022-08-15;415.0;270.0;Lateral
2022-08-16;-460.0;340.0;Lateral
2022-08-17;20.0;145.0;Lateral
2022-08-18;150.0;205.0;Compra
2022-08-19;-385.0;165.0;Venda
2022-08-22;125.0;300.0;Lateral
