datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick
2022-06-10 13:35:00;105895;105900;105950;105870;68359;22073
2022-06-10 13:40:00;105900;106020;106075;105870;108965;34966
2022-06-10 13:45:00;106015;105915;106075;105865;94052;29508
2022-06-10 13:50:00;105915;105750;105915;105745;126754;39912
2022-06-10 13:55:00;105745;105830;105850;105700;128960;41168
2022-06-10 14:00:00;105825;105820;105895;105735;113729;36285
2022-06-10 14:05:00;105825;105910;105915;105720;104652;33067
2022-06-10 14:10:00;105910;105800;105985;105755;141980;43929
2022-06-10 14:15:00;105795;105835;105870;105725;104697;33286
2022-06-10 14:20:00;105835;105825;105855;105765;75582;22931
2022-06-10 14:25:00;105825;106005;106020;105790;131520;39717
2022-06-10 14:30:00;106005;105850;106030;105790;128529;40518
2022-06-10 14:35:00;105850;105990;105995;105845;130226;38595
2022-06-10 14:40:00;105995;105970;106090;105955;135071;40940
2022-06-10 14:45:00;105975;106025;106110;105900;181002;54751
2022-06-10 14:50:00;106030;105830;106085;105820;125462;39190
2022-06-10 14:55:00;105830;105710;105885;105710;150065;45915
2022-06-10 15:00:00;105710;105620;105770;105610;154713;47434
2022-06-10 15:05:00;105615;105790;105800;105590;153494;47278
2022-06-10 15:10:00;105790;105730;105825;105700;107293;31863
2022-06-10 15:15:00;105735;105900;105950;105705;146810;40625
2022-06-10 15:20:00;105905;106090;106090;105870;158032;45824
2022-06-10 15:25:00;106090;106030;106180;105985;195398;53395
2022-06-10 15:30:00;106025;106210;106250;106015;136726;41715
2022-06-10 15:35:00;106210;105990;106215;105985;132419;39928
2022-06-10 15:40:00;105985;105960;106000;105865;128043;38789
2022-06-10 15:45:00;105955;105965;106025;105890;114485;34540
2022-06-10 15:50:00;105960;105960;105970;105825;117919;36513
2022-06-10 15:55:00;105965;105930;106115;105920;154336;46405
2022-06-10 16:00:00;105930;105695;105995;105665;183380;53065
2022-06-10 16:05:00;105690;105775;105855;105665;127840;39987
2022-06-10 16:10:00;105780;105860;105935;105770;96845;30089
2022-06-10 16:15:00;105860;105945;105980;105850;85411;26946
2022-06-10 16:20:00;105945;105885;105955;105745;117360;37309
2022-06-10 16:25:00;105885;105845;106010;105830;156966;47806
2022-06-10 16:30:00;105840;105755;105880;105700;126939;40459
2022-06-10 16:35:00;105750;105865;105940;105730;121974;38183
2022-06-10 16:40:00;105870;105795;105930;105750;111149;34003
2022-06-10 16:45:00;105800;105645;105820;105625;127537;38784
2022-06-10 16:50:00;105645;105635;105730;105515;199440;60611
2022-06-10 16:55:00;105635;105550;105715;105535;139862;42293
2022-06-10 17:00:00;105550;105735;105735;105470;133971;42301
2022-06-10 17:05:00;105735;105670;105740;105610;69134;23762
2022-06-10 17:10:00;105670;105680;105715;105615;47227;16317
2022-06-10 17:15:00;105680;105600;105720;105570;57484;16799
2022-06-10 17:20:00;105600;105670;105680;105515;62074;20013
2022-06-10 17:25:00;105665;105645;105750;105645;49353;16992
2022-06-10 17:30:00;105650;105610;105685;105575;43324;16070
2022-06-10 17:35:00;105610;105635;105710;105605;40620;13565
